split_scheme	comparison_type	reference_run	variant_run	same_split	same_seed	same_sequence_backbone	same_labels	same_training_budget	same_thresholding_procedure	matched_all_core	reference_context_blocks	variant_context_blocks
family_holdout	context_vs_protein_only	protein_only.family_holdout	genome_aware_denovo.family_holdout	1	1	1	1	1	1	1	[]	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
family_holdout	protein_only_plus_bio	protein_only.family_holdout	protein_only_biophysics.family_holdout	1	1	1	1	1	1	1	[]	[]
family_holdout	genome_aware_denovo_plus_bio	genome_aware_denovo.family_holdout	genome_aware_denovo_biophysics.family_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
family_holdout	minus_local	genome_aware_denovo_biophysics.family_holdout	genome_aware_denovo_biophysics_minus_local.family_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""genome_organization"", ""host_metadata""]"
family_holdout	minus_genome_org	genome_aware_denovo_biophysics.family_holdout	genome_aware_denovo_biophysics_minus_genome_org.family_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""host_metadata""]"
family_holdout	minus_host	genome_aware_denovo_biophysics.family_holdout	genome_aware_denovo_biophysics_minus_host.family_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization""]"
family_holdout	control_local_shuffle	genome_aware_denovo_biophysics.family_holdout	genome_aware_denovo_biophysics_control_local_shuffle.family_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
family_holdout	control_position_shuffle	genome_aware_denovo_biophysics.family_holdout	genome_aware_denovo_biophysics_control_position_shuffle.family_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
family_holdout	control_host_shuffle	genome_aware_denovo_biophysics.family_holdout	genome_aware_denovo_biophysics_control_host_shuffle.family_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
family_holdout	host_corrupt_25	genome_aware_denovo_biophysics.family_holdout	genome_aware_denovo_biophysics_host_corrupt_25.family_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
family_holdout	host_corrupt_50	genome_aware_denovo_biophysics.family_holdout	genome_aware_denovo_biophysics_host_corrupt_50.family_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
family_holdout	host_corrupt_75	genome_aware_denovo_biophysics.family_holdout	genome_aware_denovo_biophysics_host_corrupt_75.family_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
family_holdout	host_corrupt_100	genome_aware_denovo_biophysics.family_holdout	genome_aware_denovo_biophysics_host_corrupt_100.family_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
family_holdout	addback_local_only	protein_only.family_holdout	genome_aware_denovo_addback_local_only.family_holdout	1	1	1	1	1	1	1	[]	"[""local_neighborhood""]"
family_holdout	addback_genome_only	protein_only.family_holdout	genome_aware_denovo_addback_genome_only.family_holdout	1	1	1	1	1	1	1	[]	"[""genome_organization""]"
family_holdout	addback_host_only	protein_only.family_holdout	genome_aware_denovo_addback_host_only.family_holdout	1	1	1	1	1	1	1	[]	"[""host_metadata""]"
family_holdout	addback_local_genome	protein_only.family_holdout	genome_aware_denovo_addback_local_genome.family_holdout	1	1	1	1	1	1	1	[]	"[""local_neighborhood"", ""genome_organization""]"
family_holdout	addback_local_host	protein_only.family_holdout	genome_aware_denovo_addback_local_host.family_holdout	1	1	1	1	1	1	1	[]	"[""local_neighborhood"", ""host_metadata""]"
family_holdout	addback_genome_host	protein_only.family_holdout	genome_aware_denovo_addback_genome_host.family_holdout	1	1	1	1	1	1	1	[]	"[""genome_organization"", ""host_metadata""]"
host_holdout	context_vs_protein_only	protein_only.host_holdout	genome_aware_denovo.host_holdout	1	1	1	1	1	1	1	[]	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
host_holdout	protein_only_plus_bio	protein_only.host_holdout	protein_only_biophysics.host_holdout	1	1	1	1	1	1	1	[]	[]
host_holdout	genome_aware_denovo_plus_bio	genome_aware_denovo.host_holdout	genome_aware_denovo_biophysics.host_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
host_holdout	minus_local	genome_aware_denovo_biophysics.host_holdout	genome_aware_denovo_biophysics_minus_local.host_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""genome_organization"", ""host_metadata""]"
host_holdout	minus_genome_org	genome_aware_denovo_biophysics.host_holdout	genome_aware_denovo_biophysics_minus_genome_org.host_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""host_metadata""]"
host_holdout	minus_host	genome_aware_denovo_biophysics.host_holdout	genome_aware_denovo_biophysics_minus_host.host_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization""]"
host_holdout	control_local_shuffle	genome_aware_denovo_biophysics.host_holdout	genome_aware_denovo_biophysics_control_local_shuffle.host_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
host_holdout	control_position_shuffle	genome_aware_denovo_biophysics.host_holdout	genome_aware_denovo_biophysics_control_position_shuffle.host_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
host_holdout	control_host_shuffle	genome_aware_denovo_biophysics.host_holdout	genome_aware_denovo_biophysics_control_host_shuffle.host_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
host_holdout	host_corrupt_25	genome_aware_denovo_biophysics.host_holdout	genome_aware_denovo_biophysics_host_corrupt_25.host_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
host_holdout	host_corrupt_50	genome_aware_denovo_biophysics.host_holdout	genome_aware_denovo_biophysics_host_corrupt_50.host_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
host_holdout	host_corrupt_75	genome_aware_denovo_biophysics.host_holdout	genome_aware_denovo_biophysics_host_corrupt_75.host_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
host_holdout	host_corrupt_100	genome_aware_denovo_biophysics.host_holdout	genome_aware_denovo_biophysics_host_corrupt_100.host_holdout	1	1	1	1	1	1	1	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"	"[""local_neighborhood"", ""genome_organization"", ""host_metadata""]"
host_holdout	addback_local_only	protein_only.host_holdout	genome_aware_denovo_addback_local_only.host_holdout	1	1	1	1	1	1	1	[]	"[""local_neighborhood""]"
host_holdout	addback_genome_only	protein_only.host_holdout	genome_aware_denovo_addback_genome_only.host_holdout	1	1	1	1	1	1	1	[]	"[""genome_organization""]"
host_holdout	addback_host_only	protein_only.host_holdout	genome_aware_denovo_addback_host_only.host_holdout	1	1	1	1	1	1	1	[]	"[""host_metadata""]"
host_holdout	addback_local_genome	protein_only.host_holdout	genome_aware_denovo_addback_local_genome.host_holdout	1	1	1	1	1	1	1	[]	"[""local_neighborhood"", ""genome_organization""]"
host_holdout	addback_local_host	protein_only.host_holdout	genome_aware_denovo_addback_local_host.host_holdout	1	1	1	1	1	1	1	[]	"[""local_neighborhood"", ""host_metadata""]"
host_holdout	addback_genome_host	protein_only.host_holdout	genome_aware_denovo_addback_genome_host.host_holdout	1	1	1	1	1	1	1	[]	"[""genome_organization"", ""host_metadata""]"
