label	label_group	protein_average_precision	context_average_precision	delta_average_precision	protein_f1_from_label_metrics	context_f1_from_label_metrics	delta_f1_from_label_metrics	delta_f1_from_predictions	delta_f1_ci_low	delta_f1_ci_high	delta_f1_permutation_pvalue	block_unit	protein_support	normalized_context_dependence_score	positive_delta_ap
nucleocapsid	structural_assembly	0.24023190037604025	0.5714578881000011	0.33122598772396084	0.3166023166023166	0.632258064516129	0.3156557479138124	0.3156557479138124	0.016859684657849785	0.37599202644704777	0.022	virus_family	133	0.435956686689	1
ligase	replication	0.886853208358819	0.9197971618469724	0.03294395348815338	0.9291666666666667	0.9227557411273486	-0.006410925539318102	-0.006410925539318102	-0.02260837358176062	0.002529913166766722	0.255	virus_family	231	0.291161155334	1
protease	processing	0.7318077427710545	0.7532772365893114	0.021469493818256913	0.7344064386317908	0.7494866529774127	0.0150802143456219	0.0150802143456219	-0.01777682838962129	0.056877749914114636	0.534	virus_family	435	0.0800526206072	1
transcription_regulator	processing	0.43305651653839605	0.45262357358680916	0.019567057048413106	0.4229195088676671	0.4135497529992943	-0.009369755868372798	-0.009369755868372798	-0.039582895506613494	0.013455051237289508	0.507	virus_family	517	0.0345132403389	1
polyprotein	processing	0.10421899686979193	0.12209692227195793	0.017877925402165998	0.13811659192825113	0.2962382445141066	0.15812165258585545	0.15812165258585545	-0.14787886519903107	0.688541323020959	0.563	virus_family	212	0.0199579195586	1
membrane_matrix	membrane_entry	0.3635931827037169	0.37116462368085257	0.0075714409771356905	0.31347962382445144	0.3115007735946364	-0.0019788502298150323	-0.0019788502298150323	-0.035526880539327135	0.03621203184149216	0.938	virus_family	495	0.0118971711999	1
lysis	lysis_integration	0.8297691380309986	0.8359471686960375	0.006178030665038858	0.7997688529326784	0.791023842917251	-0.008745010015427379	-0.008745010015427379	-0.029378400147634463	0.005506006700100794	0.303	virus_family	1532	0.0362920696674	1
tail_assembly	structural_assembly	0.861909031555952	0.8655238628697893	0.00361483131383733	0.8080150034547429	0.8131121327203678	0.005097129265624889	0.005097129265624889	-0.014217848585709094	0.019918078732161098	0.661	virus_family	4690	0.0261771721409	1
helicase	replication	0.8597871806567718	0.8624819741821559	0.0026947935253840427	0.8622366288492707	0.8439306358381503	-0.018305993011120347	-0.018305993011120347	-0.04041730684768361	-0.003581610687794213	0.014	virus_family	864	0.0192193078052	1
nuclease	replication	0.8287564978103708	0.8294748755615897	0.0007183777512189682	0.8165710007486898	0.8026347889729202	-0.013936211775769647	-0.013936211775769647	-0.030323410932239968	-0.002017679230591274	0.038	virus_family	1751	0.00419506550662	1
capsid_head	structural_assembly	0.5702574598726956	0.5642404783920076	-0.006016981480687966	0.5677749360613811	0.5840394088669951	0.01626447280561405	0.01626447280561405	-0.01220806077424022	0.06150162995823599	0.343	virus_family	1808	-0.0140013630926	0
tail_fiber_receptor	membrane_entry	0.8534282725174375	0.8426710607581235	-0.01075721175931399	0.760968760968761	0.7757274662881476	0.014758705319386611	0.014758705319386611	-0.014846855439063987	0.03566899151716827	0.31	virus_family	1176	-0.0733921282784	0
integrase_recombinase	lysis_integration	0.935514056859126	0.921985500771997	-0.013528556087128996	0.8	0.8	0.0	0.0	-0.013487859047171185	0.01415958187218132	1.0	virus_family	224	-0.209790744002	0
methyltransferase	replication	0.801536507037227	0.7878254053174358	-0.013711101719791174	0.8707280832095097	0.8373408769448374	-0.03338720626467229	-0.03338720626467229	-0.08388720022217137	-0.005144355369275681	0.028	virus_family	311	-0.0690862627894	0
portal_terminase_packaging	structural_assembly	0.8330617468007829	0.8172358030272885	-0.015825943773494444	0.8455019556714471	0.822139303482587	-0.023362652188860134	-0.023362652188860134	-0.04561192445028156	-0.003036757964275135	0.048	virus_family	1389	-0.0948011766159	0
envelope_glycoprotein	membrane_entry	0.4226277768531937	0.3896318845114027	-0.03299589234179101	0.47297297297297297	0.46254545454545454	-0.010427518427518434	-0.010427518427518434	-0.035441457965807	0.013797929398853307	0.443	virus_family	369	-0.0571483878987	0
polymerase	replication	0.8171692082743356	0.7681714266025171	-0.04899778167181845	0.7342995169082126	0.7166618033265246	-0.017637713581687975	-0.017637713581687975	-0.056398598076043915	0.006855120484946633	0.244	virus_family	1344	-0.267995224051	0
