candidate_id	predicted_label	p_protein_only	p_context	delta_p	family	host_group	genome_id	description	hypothetical_or_uncharacterized	exact_transfer_flag	module_cluster_id	module_neighborhood_signature	module_weak_label_counts	tm_helix_count	signal_peptide_score	disorder_score	nearest_homolog_accession	nearest_homolog_identity	domain_or_remote_hit	structure_hit	neighbor_products_window	not_annotation_leakage_note	caveat
YP_009666897.1	nucleocapsid	0.051462411880493164	0.991748571395874	0.9402861595153809	Peribunyaviridae	Metazoa	NC_043572.1	nucleocapsid protein	0		9	CDS	"{""nucleocapsid"": 1}"	1.0	0.325	0.46695278969957077					0:*nucleocapsid protein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009666899.1	nucleocapsid	0.05231142044067383	0.990148663520813	0.9378372430801392	Peribunyaviridae	Metazoa	NC_043574.1	nucleocapsid protein	0		9	CDS	"{""nucleocapsid"": 1}"	1.0	0.325	0.47017167381974245					0:*nucleocapsid protein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009512927.1	nucleocapsid	0.10763370990753174	0.9937170743942261	0.8860833644866943	Peribunyaviridae	Metazoa	NC_039188.1	nucleocapsid protein	0		9	CDS	"{""nucleocapsid"": 1}"	1.0	0.30000000000000004	0.47360515021459226					0:*nucleocapsid protein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009337740.1	capsid_head	0.1913546323776245	0.9926972985267639	0.8013426661491394	Riboviria	root	NC_033232.1	hypothetical protein 2	1		0	CDS|CDS	{}	0.0	0.5750000000000001	0.5326996197718631					-1:hypothetical protein 1 | 0:*hypothetical protein 2 | 1:hypothetical protein 3	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009342305.1	capsid_head	0.2306908369064331	0.9908549785614014	0.7601641416549683	Riboviria	root	NC_033445.1	hypothetical protein	1		0	CDS|CDS	{}	1.0	0.5125000000000001	0.4508522727272727					-1:hypothetical protein | 0:*hypothetical protein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009881537.1	tail_assembly	0.24073034524917603	0.9922401905059814	0.7515098452568054	Twarogvirinae	Bacteria	NC_049441.1	baseplate wedge subunit	0		0	CDS|CDS|CDS	"{""tail_assembly"": 1, ""tail_fiber_receptor"": 3}"	0.0	0.66875	0.5171900826446281					-5:head closure Hc2 | -4:head-tail adaptor Ad2 | -3:fibritin neck whisker | -2:tail collar fiber protein | -1:baseplate wedge subunit | 0:*baseplate wedge subunit | 1:baseplate wedge tail fiber protein connector | 2:baseplate wedge subunit | 3:baseplate wedge subunit | 4:baseplate wedge subunit | 5:PAAR motif of membran proteins	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009337392.1	capsid_head	0.26602405309677124	0.9927617907524109	0.7267377376556396	Riboviria	root	NC_033146.1	hypothetical protein	1		-1	CDS|CDS	{}	0.0	0.5062500000000001	0.5119369369369369					-3:replicase | -2:putative structural protein | -1:hypothetical protein | 0:*hypothetical protein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009337270.1	capsid_head	0.270216166973114	0.989971399307251	0.719755232334137	Riboviria	root	NC_033093.1	hypothetical protein 2	1		0	CDS|CDS	{}	3.0	0.46875	0.5063457330415755					-1:hypothetical protein 1 | 0:*hypothetical protein 2	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_010680760.1	polymerase	0.36851340532302856	0.9921202659606934	0.6236068606376648	Joanripponvirinae	Bacteria	NC_071046.1	polynucleotide kinase	0		0	CDS|CDS|CDS	"{""ligase"": 1}"	0.0	0.58125	0.45771604938271604					-5:hypothetical protein | -4:hypothetical protein | -3:ATP-dependent DNA ligase | -2:head maturation protease | -1:hypothetical protein | 0:*polynucleotide kinase | 1:tRNA ligase | 2:protease | 3:hypothetical protein | 4:hypothetical protein | 5:nucleotidyltransferase	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_010681280.1	polymerase	0.37270158529281616	0.9901267290115356	0.6174251437187195	Joanripponvirinae	Bacteria	NC_071048.1	polynucleotide kinase	0		0	CDS|CDS|CDS	"{""ligase"": 1}"	0.0	0.58125	0.458641975308642					-5:nucleotidyltransferase | -4:hypothetical protein | -3:hypothetical protein | -2:protease | -1:tRNA ligase | 0:*polynucleotide kinase | 1:hypothetical protein | 2:head maturation protease | 3:DNA ligase, ATP-dependent | 4:hypothetical protein | 5:hypothetical protein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_010840622.1	nucleocapsid	0.41217029094696045	0.9899758696556091	0.5778055787086487	Peribunyaviridae	Metazoa	NC_078877.1	nucleoprotein	0		9	CDS	{}	2.0	0.48750000000000004	0.4744635193133047					0:*nucleoprotein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_950542.1	tail_assembly	0.4882718324661255	0.9892926216125488	0.5010207891464233	Enquatrovirinae	Bacteria	NC_008720.1	tail assembly protein	0		-1	CDS|CDS|CDS	"{""tail_assembly"": 2, ""tail_fiber_receptor"": 1}"	1.0	0.43750000000000006	0.46486810551558744					-5:portal protein | -4:Rz-like spanin | -3:endolysin | -2:holin | -1:gp63 | 0:*tail assembly protein | 1:tail sheath and receptor binding protein | 2:appendage | 3:virion structural protein | 4:gp68 | 5:gp69	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_007675790.1	portal_terminase_packaging	0.510484516620636	0.9933885335922241	0.48290401697158813	Rhodovirinae	Bacteria	NC_020862.2	hypothetical protein	1												0:*hypothetical protein | 1:hypothetical protein | 2:virion structural protein | 3:hypothetical protein | 4:hypothetical protein | 5:endolysin	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
