scheme	split	label	positive_count
default	train	envelope_glycoprotein	2696
default	train	nucleocapsid	553
default	train	polymerase	11521
default	train	capsid_head	10967
default	train	membrane_matrix	5200
default	train	polyprotein	1549
default	train	transcription_regulator	3861
default	train	protease	4078
default	train	helicase	6574
default	train	ligase	2763
default	train	portal_terminase_packaging	11267
default	train	methyltransferase	2844
default	train	nuclease	15824
default	train	integrase_recombinase	2071
default	train	lysis	11365
default	train	tail_assembly	39555
default	train	tail_fiber_receptor	11907
default	test	polymerase	1354
default	test	nucleocapsid	62
default	test	envelope_glycoprotein	342
default	test	membrane_matrix	649
default	test	capsid_head	1393
default	test	helicase	805
default	test	portal_terminase_packaging	1409
default	test	protease	512
default	test	ligase	303
default	test	transcription_regulator	488
default	test	polyprotein	211
default	test	nuclease	1821
default	test	methyltransferase	292
default	test	lysis	1358
default	test	tail_fiber_receptor	1517
default	test	tail_assembly	4661
default	test	integrase_recombinase	234
default	val	polyprotein	189
default	val	protease	530
default	val	helicase	804
default	val	polymerase	1478
default	val	capsid_head	1405
default	val	envelope_glycoprotein	380
default	val	membrane_matrix	778
default	val	portal_terminase_packaging	1439
default	val	nucleocapsid	58
default	val	transcription_regulator	539
default	val	ligase	331
default	val	nuclease	2045
default	val	methyltransferase	370
default	val	integrase_recombinase	251
default	val	lysis	1467
default	val	tail_fiber_receptor	1549
default	val	tail_assembly	5228
family_holdout	test	envelope_glycoprotein	369
family_holdout	test	nucleocapsid	133
family_holdout	test	polymerase	1344
family_holdout	test	capsid_head	1808
family_holdout	test	transcription_regulator	517
family_holdout	test	polyprotein	212
family_holdout	test	membrane_matrix	495
family_holdout	test	portal_terminase_packaging	1389
family_holdout	test	protease	435
family_holdout	test	helicase	864
family_holdout	test	nuclease	1751
family_holdout	test	methyltransferase	311
family_holdout	test	ligase	231
family_holdout	test	integrase_recombinase	224
family_holdout	test	lysis	1532
family_holdout	test	tail_fiber_receptor	1176
family_holdout	test	tail_assembly	4690
family_holdout	train	capsid_head	11015
family_holdout	train	membrane_matrix	5921
family_holdout	train	envelope_glycoprotein	2981
family_holdout	train	polymerase	11582
family_holdout	train	polyprotein	1698
family_holdout	train	nucleocapsid	532
family_holdout	train	protease	4297
family_holdout	train	helicase	6767
family_holdout	train	ligase	2904
family_holdout	train	portal_terminase_packaging	11496
family_holdout	train	transcription_regulator	4116
family_holdout	train	methyltransferase	2789
family_holdout	train	nuclease	16011
family_holdout	train	integrase_recombinase	2140
family_holdout	train	lysis	11040
family_holdout	train	tail_assembly	39238
family_holdout	train	tail_fiber_receptor	13173
family_holdout	val	polyprotein	39
family_holdout	val	polymerase	1427
family_holdout	val	capsid_head	942
family_holdout	val	envelope_glycoprotein	68
family_holdout	val	helicase	552
family_holdout	val	membrane_matrix	211
family_holdout	val	nucleocapsid	8
family_holdout	val	protease	388
family_holdout	val	methyltransferase	406
family_holdout	val	ligase	262
family_holdout	val	nuclease	1928
family_holdout	val	tail_assembly	5516
family_holdout	val	lysis	1618
family_holdout	val	tail_fiber_receptor	624
family_holdout	val	portal_terminase_packaging	1230
family_holdout	val	transcription_regulator	255
family_holdout	val	integrase_recombinase	192
host_holdout	train	envelope_glycoprotein	2543
host_holdout	train	nucleocapsid	550
host_holdout	train	polymerase	10660
host_holdout	train	capsid_head	10679
host_holdout	train	membrane_matrix	5116
host_holdout	train	polyprotein	1513
host_holdout	train	protease	3828
host_holdout	train	helicase	5983
host_holdout	train	transcription_regulator	3462
host_holdout	train	ligase	2208
host_holdout	train	portal_terminase_packaging	10574
host_holdout	train	methyltransferase	2593
host_holdout	train	nuclease	14642
host_holdout	train	integrase_recombinase	2009
host_holdout	train	lysis	10725
host_holdout	train	tail_assembly	38297
host_holdout	train	tail_fiber_receptor	9876
host_holdout	val	envelope_glycoprotein	396
host_holdout	val	nucleocapsid	46
host_holdout	val	polymerase	2228
host_holdout	val	capsid_head	1804
host_holdout	val	polyprotein	211
host_holdout	val	membrane_matrix	841
host_holdout	val	portal_terminase_packaging	2212
host_holdout	val	helicase	1373
host_holdout	val	protease	821
host_holdout	val	ligase	831
host_holdout	val	transcription_regulator	947
host_holdout	val	methyltransferase	543
host_holdout	val	integrase_recombinase	338
host_holdout	val	nuclease	3460
host_holdout	val	tail_assembly	7211
host_holdout	val	tail_fiber_receptor	3652
host_holdout	val	lysis	2424
host_holdout	test	polymerase	1465
host_holdout	test	capsid_head	1282
host_holdout	test	helicase	827
host_holdout	test	envelope_glycoprotein	479
host_holdout	test	nucleocapsid	77
host_holdout	test	membrane_matrix	670
host_holdout	test	polyprotein	225
host_holdout	test	transcription_regulator	479
host_holdout	test	portal_terminase_packaging	1329
host_holdout	test	protease	471
host_holdout	test	ligase	358
host_holdout	test	nuclease	1588
host_holdout	test	methyltransferase	370
host_holdout	test	integrase_recombinase	209
host_holdout	test	tail_fiber_receptor	1445
host_holdout	test	tail_assembly	3936
host_holdout	test	lysis	1041
calibration	test	envelope_glycoprotein	369
calibration	test	nucleocapsid	133
calibration	test	polymerase	1344
calibration	test	capsid_head	1808
calibration	test	transcription_regulator	517
calibration	test	polyprotein	212
calibration	test	membrane_matrix	495
calibration	test	portal_terminase_packaging	1389
calibration	test	protease	435
calibration	test	helicase	864
calibration	test	nuclease	1751
calibration	test	methyltransferase	311
calibration	test	ligase	231
calibration	test	integrase_recombinase	224
calibration	test	lysis	1532
calibration	test	tail_fiber_receptor	1176
calibration	test	tail_assembly	4690
calibration	train	capsid_head	9906
calibration	train	membrane_matrix	5157
calibration	train	envelope_glycoprotein	2662
calibration	train	polymerase	10394
calibration	train	polyprotein	1517
calibration	train	nucleocapsid	466
calibration	train	protease	3854
calibration	train	helicase	6085
calibration	train	ligase	2615
calibration	train	portal_terminase_packaging	10394
calibration	train	transcription_regulator	3699
calibration	train	methyltransferase	2467
calibration	train	nuclease	14330
calibration	train	integrase_recombinase	1901
calibration	train	lysis	9966
calibration	train	tail_assembly	35286
calibration	train	tail_fiber_receptor	11911
calibration	calibration	capsid_head	1109
calibration	calibration	polymerase	1188
calibration	calibration	polyprotein	181
calibration	calibration	envelope_glycoprotein	319
calibration	calibration	nucleocapsid	66
calibration	calibration	membrane_matrix	764
calibration	calibration	helicase	682
calibration	calibration	ligase	289
calibration	calibration	nuclease	1681
calibration	calibration	transcription_regulator	417
calibration	calibration	portal_terminase_packaging	1102
calibration	calibration	protease	443
calibration	calibration	methyltransferase	322
calibration	calibration	integrase_recombinase	239
calibration	calibration	tail_assembly	3952
calibration	calibration	lysis	1074
calibration	calibration	tail_fiber_receptor	1262
calibration	val	polyprotein	39
calibration	val	polymerase	1427
calibration	val	capsid_head	942
calibration	val	envelope_glycoprotein	68
calibration	val	helicase	552
calibration	val	membrane_matrix	211
calibration	val	nucleocapsid	8
calibration	val	protease	388
calibration	val	methyltransferase	406
calibration	val	ligase	262
calibration	val	nuclease	1928
calibration	val	tail_assembly	5516
calibration	val	lysis	1618
calibration	val	tail_fiber_receptor	624
calibration	val	portal_terminase_packaging	1230
calibration	val	transcription_regulator	255
calibration	val	integrase_recombinase	192
