target_type	matched_candidate_id	match_rank	protein_accession	predicted_label	p_protein_only	p_context	delta_p	family	host_group	genome_id	description	hypothetical_or_uncharacterized	module_cluster_id	exact_transfer_flag	sequence_length_aa	protein_sequence_sha256	validation_gate_status	control_match_note	de_novo_input_guardrail	manuscript_caveat
known_positive_control			NP_740662.1	capsid_head				Matonaviridae	Metazoa	NC_001545.2	capsid protein [Rubella virus]	0			300	d9a922a9903f080c60bd8160d322e9e2ebcec13b4578b42a3bf2d0829f892da1	known-positive calibration target	Annotation-derived known positive used to calibrate sequence/structure evidence interpretation; not a de novo model input.	do not use product text, neighbor true labels, label counts, homology hits, or structure hits as de novo inputs	computationally prioritized or matched analysis target; independent validation required
known_positive_control			NP_862879.1	capsid_head				Caudoviricetes	Bacteria	NC_004996.1	major capsid protein [Streptococcus phage SM1]	0			300	f1f30cc57e58bc74dafa4b9acb4afd5cf961c4d993c45fdc7eb41fee7431017b	known-positive calibration target	Annotation-derived known positive used to calibrate sequence/structure evidence interpretation; not a de novo model input.	do not use product text, neighbor true labels, label counts, homology hits, or structure hits as de novo inputs	computationally prioritized or matched analysis target; independent validation required
known_positive_control			YP_003347329.1	capsid_head				Phifelvirus	Bacteria	NC_013643.1	minor head protein [Enterococcus phage phiFL2A]	0			300	25b7b5db4b80f7846eb968bd289b8d798fa84ac6d68c9700f06d9fd2de11a193	known-positive calibration target	Annotation-derived known positive used to calibrate sequence/structure evidence interpretation; not a de novo model input.	do not use product text, neighbor true labels, label counts, homology hits, or structure hits as de novo inputs	computationally prioritized or matched analysis target; independent validation required
known_positive_control			NP_690779.1	lysis				Spizizenvirus	Bacteria	NC_004167.1	endolysin [Bacillus phage phi105]	0			300	bf4ada7d64aa4755722c33748946d76957abc2d6c31dee3a6617bd3ca2bd6c39	known-positive calibration target	Annotation-derived known positive used to calibrate sequence/structure evidence interpretation; not a de novo model input.	do not use product text, neighbor true labels, label counts, homology hits, or structure hits as de novo inputs	computationally prioritized or matched analysis target; independent validation required
known_positive_control			YP_001642397.1	lysis				Caudoviricetes	Bacteria	NC_010179.2	endolysin [Lactobacillus prophage Lj771]	0			300	7c3fdfd194c3f992ba13c0c430aa8fbacddce8c60742b76f85cca376cd66a40a	known-positive calibration target	Annotation-derived known positive used to calibrate sequence/structure evidence interpretation; not a de novo model input.	do not use product text, neighbor true labels, label counts, homology hits, or structure hits as de novo inputs	computationally prioritized or matched analysis target; independent validation required
known_positive_control			YP_007007184.1	lysis				Alcyoneusvirus	Bacteria	NC_019526.1	putative lysozyme [Klebsiella phage vB_KleM_RaK2]	0			300	babff68d61b17b0dba5e418ff95cba82c0c0f3ae70f01e9d893934f8287d22d4	known-positive calibration target	Annotation-derived known positive used to calibrate sequence/structure evidence interpretation; not a de novo model input.	do not use product text, neighbor true labels, label counts, homology hits, or structure hits as de novo inputs	computationally prioritized or matched analysis target; independent validation required
known_positive_control			YP_010840747.1	nucleocapsid				Phasmaviridae	Metazoa	NC_078988.1	nucleocapsid protein [Guagua virus]	0			302	98488e83375f03e54b3f9c5df1a04affebf39c3da11650eb5e691acc17977b21	known-positive calibration target	Annotation-derived known positive used to calibrate sequence/structure evidence interpretation; not a de novo model input.	do not use product text, neighbor true labels, label counts, homology hits, or structure hits as de novo inputs	computationally prioritized or matched analysis target; independent validation required
known_positive_control			YP_009551593.1	nucleocapsid				Phenuiviridae	Viridiplantae	NC_040454.1	nucleocapsid [Melon chlorotic spot virus]	0			305	837cee87d9b341c54c7fac10dfb332d2e570cce6b360595eaab7cb2af9214f76	known-positive calibration target	Annotation-derived known positive used to calibrate sequence/structure evidence interpretation; not a de novo model input.	do not use product text, neighbor true labels, label counts, homology hits, or structure hits as de novo inputs	computationally prioritized or matched analysis target; independent validation required
known_positive_control			YP_009664552.1	nucleocapsid				Phasmaviridae	Metazoa	NC_043032.1	nucleocapsid [Ferak virus]	0			306	0846c4b66f6dff5b7589111c957473e09f4327d8a964f1df78c812d37a6030c9	known-positive calibration target	Annotation-derived known positive used to calibrate sequence/structure evidence interpretation; not a de novo model input.	do not use product text, neighbor true labels, label counts, homology hits, or structure hits as de novo inputs	computationally prioritized or matched analysis target; independent validation required
known_positive_control			YP_009149176.1	polymerase				Bastillevirinae	Bacteria	NC_027352.1	DNA polymerase [Bacillus phage JBP901]	0			300	8ef263f0910903516b307da5e56949abb6e8750b56942f5de6562616476192aa	known-positive calibration target	Annotation-derived known positive used to calibrate sequence/structure evidence interpretation; not a de novo model input.	do not use product text, neighbor true labels, label counts, homology hits, or structure hits as de novo inputs	computationally prioritized or matched analysis target; independent validation required
