predicted_label	protein_count	high_context_count	high_context_fraction	low_sequence_high_context_count	mean_context_gain	median_context_gain
nucleocapsid	39	5	0.128205128205	5	0.124159242862	0.0206246972084
portal_terminase_packaging	1486	7	0.00471063257066	2	0.00371281207009	0.000160396099091
polymerase	1284	5	0.00389408099688	0	0.00321042393784	0.000532746315002
capsid_head	1716	5	0.00291375291375	5	0.00251135306481	-7.12871551514e-05
tail_assembly	1608	4	0.00248756218905	0	0.0039268926305	-2.18152999878e-05
lysis	1283	1	0.000779423226812	0	0.000916371982913	-2.98619270325e-05
membrane_matrix	11	0	0	0	0.0141364498572	0.000557065010071
polyprotein	549	0	0	0	0.00212602732611	0.000409424304962
nuclease	1548	0	0	0	0.00119415530093	0.000232756137848
methyltransferase	308	0	0	0	0.0011496092979	0.000951409339905
transcription_regulator	123	0	0	0	0.00097382843979	0.000345587730408
helicase	630	0	0	0	0.000921110785197	0.000374615192413
tail_fiber_receptor	538	0	0	0	0.000563811635439	6.6876411438e-05
envelope_glycoprotein	234	0	0	0	0.00021923530815	-0.000336170196533
integrase_recombinase	207	0	0	0	0.000205728742811	-9.41753387451e-06
protease	359	0	0	0	0.000120801513906	-4.14848327637e-05
ligase	221	0	0	0	-9.29945734292e-05	-2.77757644653e-05
