protein_accession	predicted_label	top_probability_calibrated	context_gain	high_context_gain	nearest_homolog_identity	nearest_homolog_bits	identity_bin	context_gain_bin	low_sequence_identity	low_sequence_high_context	module_supported	hypothetical_or_unknown	family	host_group	family_holdout_split
YP_009883471.1	portal_terminase_packaging	0.999790608883	0.000216424465179	0	87.7	1379.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009600818.1	ligase	0.999761044979	4.13656234741e-05	0	56.2	464.0	50-70	0-0.05	0	0	1	0	Lacusarxvirus	Bacteria	test
YP_009882211.1	ligase	0.999749839306	7.71284103394e-05	0	52.7	483.0	50-70	0-0.05	0	0	1	1	Twarogvirinae	Bacteria	test
YP_009887149.1	ligase	0.999741017818	6.97374343872e-05	0	52.7	482.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010680002.1	ligase	0.999721109867	2.16960906982e-05	0	61	550.0	50-70	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_010667693.1	ligase	0.999703109264	2.03847885132e-05	0	35.6	209.0	30-50	0-0.05	0	0	1	0	Menderavirus	Bacteria	test
YP_009881499.1	ligase	0.9996997118	2.61068344116e-05	0	52.3	477.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009844464.1	ligase	0.99969124794	1.65700912476e-05	0	36.2	210.0	30-50	0-0.05	0	0	1	0	Menderavirus	Bacteria	test
YP_004009819.1	ligase	0.999689340591	3.48091125488e-05	0	53.5	495.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009789552.1	ligase	0.999679923058	0.000141680240631	0	73.2	982.0	70-90	0-0.05	0	0	0	0	Yoloswagvirus	Bacteria	test
YP_008531994.1	ligase	0.999678254128	1.10864639282e-05	0	83.5	833.0	70-90	0-0.05	0	0	1	1	Ackermannviridae	Bacteria	test
YP_009851177.1	ligase	0.999677062035	2.69412994385e-05	0	35.9	210.0	30-50	0-0.05	0	0	1	0	Menderavirus	Bacteria	test
YP_010740214.1	ligase	0.999675631523	3.2901763916e-05	0	61.4	515.0	50-70	0-0.05	0	0	1	0	Heleneionescovirinae	Bacteria	test
YP_010679871.1	ligase	0.999673604965	2.83718109131e-05	0	59.5	539.0	50-70	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
