identity_bin	context_gain_bin	protein_count	high_context_count	low_sequence_high_context_count	mean_context_gain	mean_top_probability_calibrated
0-20	0-0.05	5	0	0	0.000256359577179	0.998181045055
0-20	<0	1	0	0	-0.000675737857819	0.995709061623
20-30	0-0.05	877	0	0	0.00267498149295	0.995299323663
20-30	0.05-0.10	1	0	0	0.0603119134903	0.98950701952
20-30	0.10-0.20	2	0	0	0.11905631423	0.993180602789
20-30	0.20-0.50	1	1	1	0.418399095535	0.9922285676
20-30	<0	341	0	0	-0.000620000348413	0.993884274512
30-50	0-0.05	2076	0	0	0.00157583767624	0.995701282011
30-50	0.05-0.10	24	0	0	0.0661813269059	0.992662029962
30-50	0.10-0.20	1	0	0	0.113218665123	0.991795003414
30-50	0.20-0.50	4	4	0	0.408267349005	0.992773219943
30-50	<0	1224	0	0	-0.000596813029713	0.994814140734
50-70	0-0.05	2110	0	0	0.00122794604979	0.996024660731
50-70	0.05-0.10	20	0	0	0.0765362083912	0.991922351718
50-70	0.10-0.20	14	0	0	0.167264282703	0.992437188114
50-70	0.20-0.50	7	7	0	0.28246477672	0.992913493088
50-70	<0	1422	0	0	-0.000488375016238	0.995272292786
50-70	>=0.50	3	3	0	0.664180616538	0.991495728493
70-90	0-0.05	1475	0	0	0.00194005853039	0.995937535318
70-90	0.10-0.20	3	0	0	0.122362971306	0.991766870022
70-90	<0	1139	0	0	-0.00049557436758	0.995451223547
70-90	>=0.50	1	1	0	0.501020789146	0.989292621613
90-100	0-0.05	499	0	0	0.00112082222421	0.996262836671
90-100	0.10-0.20	1	0	0	0.172355413437	0.990020036697
90-100	<0	452	0	0	-0.000534329662281	0.995510796398
no_hit	0-0.05	344	0	0	0.00294190887795	0.995630166212
no_hit	0.05-0.10	6	0	0	0.0689650277297	0.994091878335
no_hit	0.10-0.20	1	0	0	0.162652671337	0.99192917347
no_hit	0.20-0.50	3	3	3	0.304219861825	0.990445752939
no_hit	<0	79	0	0	-0.000583049617236	0.992964395239
no_hit	>=0.50	8	8	8	0.793751515448	0.991484455764
