label	subset	support	protein_macro_ap	context_macro_ap	delta_macro_ap	protein_macro_f1	context_macro_f1	delta_macro_f1	protein_micro_ap	context_micro_ap	delta_micro_ap	protein_micro_f1	context_micro_f1	delta_micro_f1	seed_count
polymerase	strict_zero_exact_transfer	1342	0.8359234814272979	0.8244473554717038	-0.011476125955594182	0.7323779768282151	0.701094772246806	-0.03128320458140902	0.8359234814272979	0.8244473554717038	-0.011476125955594182	0.7323779768282151	0.701094772246806	-0.03128320458140902	3
helicase	strict_zero_exact_transfer	858	0.8816192857134127	0.8739451063753149	-0.0076741793380979235	0.8565679869858772	0.8333156240738578	-0.023252362912019302	0.8816192857134127	0.8739451063753149	-0.0076741793380979235	0.8565679869858772	0.8333156240738578	-0.023252362912019302	3
protease	strict_zero_exact_transfer	432	0.7903088001354979	0.7819717148024026	-0.008337085333095332	0.7309159058741729	0.7206260082013061	-0.010289897672866847	0.7903088001354979	0.7819717148024026	-0.008337085333095332	0.7309159058741729	0.7206260082013061	-0.010289897672866847	3
capsid_head	strict_zero_exact_transfer	1798	0.6614409834438474	0.6301185123697378	-0.03132247107410946	0.5761615710426358	0.583598887474105	0.007437316431469203	0.6614409834438474	0.6301185123697378	-0.03132247107410946	0.5761615710426358	0.583598887474105	0.007437316431469203	3
tail_fiber_receptor	strict_zero_exact_transfer	1172	0.844313788610415	0.8490191492084183	0.004705360598003232	0.7524480299783094	0.7512299094248611	-0.0012181205534483504	0.844313788610415	0.8490191492084183	0.004705360598003232	0.7524480299783094	0.7512299094248611	-0.0012181205534483504	3
tail_assembly	strict_zero_exact_transfer	4636	0.8655978303592547	0.8700478022674701	0.004449971908215278	0.8138558294716259	0.8094087979695987	-0.004447031502027225	0.8655978303592547	0.8700478022674701	0.004449971908215278	0.8138558294716259	0.8094087979695987	-0.004447031502027225	3
portal_terminase_packaging	strict_zero_exact_transfer	1376	0.9000322945326329	0.9034723392884746	0.003440044755841846	0.838590754932604	0.8159777855513056	-0.022612969381298458	0.9000322945326329	0.9034723392884746	0.003440044755841846	0.838590754932604	0.8159777855513056	-0.022612969381298458	3
lysis	strict_zero_exact_transfer	1520	0.8686399592174837	0.8647011425128487	-0.00393881670463514	0.7970361969559628	0.7848115656948199	-0.012224631261142779	0.8686399592174837	0.8647011425128487	-0.00393881670463514	0.7970361969559628	0.7848115656948199	-0.012224631261142779	3
envelope_glycoprotein	strict_zero_exact_transfer	369	0.4193320499419834	0.3930011866662228	-0.026330863275760657	0.4612722637021296	0.46794849572851666	0.006676232026387008	0.4193320499419834	0.3930011866662228	-0.026330863275760657	0.4612722637021296	0.46794849572851666	0.006676232026387008	3
membrane_matrix	strict_zero_exact_transfer	492	0.3915726336167749	0.3798235522224538	-0.01174908139432109	0.3171141437395308	0.3190530177342505	0.001938873994719777	0.3915726336167749	0.3798235522224538	-0.01174908139432109	0.3171141437395308	0.3190530177342505	0.001938873994719777	3
nucleocapsid	strict_zero_exact_transfer	133	0.2745290034443861	0.5305511610054706	0.25602215756108454	0.34749661817652083	0.5769595506437611	0.22946293246724037	0.2745290034443861	0.5305511610054706	0.25602215756108454	0.34749661817652083	0.5769595506437611	0.22946293246724037	3
integrase_recombinase	strict_zero_exact_transfer	216	0.9417228006399392	0.9464833541322454	0.004760553492306048	0.7995264839835005	0.8181282427163709	0.01860175873287051	0.9417228006399392	0.9464833541322454	0.004760553492306048	0.7995264839835005	0.8181282427163709	0.01860175873287051	3
nuclease	strict_zero_exact_transfer	1709	0.8678868451998341	0.8698306644107022	0.0019438192108681696	0.8111728173964597	0.7965698202858079	-0.01460299711065168	0.8678868451998341	0.8698306644107022	0.0019438192108681696	0.8111728173964597	0.7965698202858079	-0.01460299711065168	3
methyltransferase	strict_zero_exact_transfer	296	0.8068692252136872	0.7888219911239255	-0.01804723408976165	0.8579095298762468	0.8508774406022113	-0.007032089274035536	0.8068692252136872	0.7888219911239255	-0.01804723408976165	0.8579095298762468	0.8508774406022113	-0.007032089274035536	3
ligase	strict_zero_exact_transfer	231	0.9037200030830482	0.9085038515924518	0.0047838485094036836	0.9174713497206316	0.9129970714672974	-0.004474278253334352	0.9037200030830482	0.9085038515924518	0.0047838485094036836	0.9174713497206316	0.9129970714672974	-0.004474278253334352	3
transcription_regulator	strict_zero_exact_transfer	497	0.41973185954683717	0.39135127023698896	-0.028380589309848214	0.4168652200281578	0.41698909638922005	0.00012387636106227692	0.41973185954683717	0.39135127023698896	-0.028380589309848214	0.4168652200281578	0.41698909638922005	0.00012387636106227692	3
polyprotein	strict_zero_exact_transfer	212	0.10333872655801424	0.12525268567033984	0.021913959112325593	0.13752427429459174	0.21334560034144112	0.0758213260468494	0.10333872655801424	0.12525268567033984	0.021913959112325593	0.13752427429459174	0.21334560034144112	0.0758213260468494	3
