threshold	split	label	test_positive_count_seed_cache
30	sequence_cluster_30_holdout	polymerase	2741
30	sequence_cluster_30_holdout	helicase	712
30	sequence_cluster_30_holdout	protease	615
30	sequence_cluster_30_holdout	capsid_head	1740
30	sequence_cluster_30_holdout	tail_fiber_receptor	1406
30	sequence_cluster_30_holdout	tail_assembly	4624
30	sequence_cluster_30_holdout	portal_terminase_packaging	1124
30	sequence_cluster_30_holdout	lysis	1792
30	sequence_cluster_30_holdout	envelope_glycoprotein	305
30	sequence_cluster_30_holdout	membrane_matrix	709
30	sequence_cluster_30_holdout	nucleocapsid	17
30	sequence_cluster_30_holdout	integrase_recombinase	225
30	sequence_cluster_30_holdout	nuclease	1789
30	sequence_cluster_30_holdout	methyltransferase	174
30	sequence_cluster_30_holdout	ligase	609
30	sequence_cluster_30_holdout	transcription_regulator	480
30	sequence_cluster_30_holdout	polyprotein	183
50	sequence_cluster_50_holdout	polymerase	1612
50	sequence_cluster_50_holdout	helicase	594
50	sequence_cluster_50_holdout	protease	512
50	sequence_cluster_50_holdout	capsid_head	1409
50	sequence_cluster_50_holdout	tail_fiber_receptor	1378
50	sequence_cluster_50_holdout	tail_assembly	5580
50	sequence_cluster_50_holdout	portal_terminase_packaging	1344
50	sequence_cluster_50_holdout	lysis	1716
50	sequence_cluster_50_holdout	envelope_glycoprotein	295
50	sequence_cluster_50_holdout	membrane_matrix	553
50	sequence_cluster_50_holdout	nucleocapsid	48
50	sequence_cluster_50_holdout	integrase_recombinase	161
50	sequence_cluster_50_holdout	nuclease	2006
50	sequence_cluster_50_holdout	methyltransferase	503
50	sequence_cluster_50_holdout	ligase	299
50	sequence_cluster_50_holdout	transcription_regulator	336
50	sequence_cluster_50_holdout	polyprotein	178
70	sequence_cluster_70_holdout	polymerase	1448
70	sequence_cluster_70_holdout	helicase	1028
70	sequence_cluster_70_holdout	protease	537
70	sequence_cluster_70_holdout	capsid_head	1224
70	sequence_cluster_70_holdout	tail_fiber_receptor	1568
70	sequence_cluster_70_holdout	tail_assembly	4881
70	sequence_cluster_70_holdout	portal_terminase_packaging	1147
70	sequence_cluster_70_holdout	lysis	1523
70	sequence_cluster_70_holdout	envelope_glycoprotein	329
70	sequence_cluster_70_holdout	membrane_matrix	668
70	sequence_cluster_70_holdout	nucleocapsid	47
70	sequence_cluster_70_holdout	integrase_recombinase	204
70	sequence_cluster_70_holdout	nuclease	1832
70	sequence_cluster_70_holdout	methyltransferase	306
70	sequence_cluster_70_holdout	ligase	515
70	sequence_cluster_70_holdout	transcription_regulator	361
70	sequence_cluster_70_holdout	polyprotein	205
