comparison	metric	protein_run	context_run	protein_value	context_value	delta	ci_low	ci_high	ci_crosses_zero	block_unit	bootstrap_iterations	block_count	figure_note
family_holdout	macro AP	protein_only.family_holdout	genome_aware_denovo.family_holdout	0.6951915425629733	0.7088333790022351	0.0136418364393	-0.0113945869024	0.0276354696671	1	virus_family	1000	122	Family-block bootstrap intervals reflect uncertainty across held-out viral families.
family_holdout	macro F1	protein_only.family_holdout	genome_aware_denovo.family_holdout	0.6586199267865799	0.6810874110533822	0.0224674842668	-0.00556012012133	0.0542498609767	1	virus_family	1000	122	Family-block bootstrap intervals reflect uncertainty across held-out viral families.
family_holdout	micro AP	protein_only.family_holdout	genome_aware_denovo.family_holdout	0.7648546643592684	0.7500039275271702	-0.0148507368321	-0.0384057669503	0.0047066856315	1	virus_family	1000	122	Family-block bootstrap intervals reflect uncertainty across held-out viral families.
family_holdout	micro F1	protein_only.family_holdout	genome_aware_denovo.family_holdout	0.7094211923953658	0.7119894231438313	0.00256823074847	-0.0110334134025	0.0144490280904	1	virus_family	1000	122	Family-block bootstrap intervals reflect uncertainty across held-out viral families.
host_holdout	macro AP	protein_only.host_holdout	genome_aware_denovo.host_holdout	0.760574288561686	0.7822011683099865	0.0216268797483	0.0106692396622	0.0309879723639	0	host_taxid_key	1000	361	Host/block bootstrap interval for complementary OOD split.
host_holdout	macro F1	protein_only.host_holdout	genome_aware_denovo.host_holdout	0.7022364946588635	0.720133802446683	0.0178973077878	0.00343707760759	0.0306370509973	0	host_taxid_key	1000	361	Host/block bootstrap interval for complementary OOD split.
host_holdout	micro AP	protein_only.host_holdout	genome_aware_denovo.host_holdout	0.8127398198958027	0.8227472344304577	0.0100074145347	0.00308223117672	0.0181548683511	0	host_taxid_key	1000	361	Host/block bootstrap interval for complementary OOD split.
host_holdout	micro F1	protein_only.host_holdout	genome_aware_denovo.host_holdout	0.732766474339508	0.7424711797267788	0.00970470538727	0.00316988353438	0.0178644757334	0	host_taxid_key	1000	361	Host/block bootstrap interval for complementary OOD split.
family_holdout_biophysics	macro AP	protein_only_biophysics.family_holdout	genome_aware_denovo_biophysics.family_holdout	0.7019264790256693	0.7077767145951401	0.00585023556947	-0.0191913409882	0.0200498869526	1	virus_family	1000	122	Family-block bootstrap intervals reflect uncertainty across held-out viral families.
family_holdout_biophysics	macro F1	protein_only_biophysics.family_holdout	genome_aware_denovo_biophysics.family_holdout	0.6696456617941509	0.6863362232541258	0.01669056146	0.00195986432275	0.0212052774772	0	virus_family	1000	122	Family-block bootstrap intervals reflect uncertainty across held-out viral families.
family_holdout_biophysics	micro AP	protein_only_biophysics.family_holdout	genome_aware_denovo_biophysics.family_holdout	0.7708108871204951	0.7558610429995746	-0.0149498441209	-0.0399051635709	0.0045019648291	1	virus_family	1000	122	Family-block bootstrap intervals reflect uncertainty across held-out viral families.
family_holdout_biophysics	micro F1	protein_only_biophysics.family_holdout	genome_aware_denovo_biophysics.family_holdout	0.7146980826547136	0.7203357678080243	0.00563768515331	0.000524603729223	0.00953655434845	0	virus_family	1000	122	Family-block bootstrap intervals reflect uncertainty across held-out viral families.
host_holdout_biophysics	macro AP	protein_only_biophysics.host_holdout	genome_aware_denovo_biophysics.host_holdout	0.7553300980482343	0.7718295522219387	0.0164994541737	0.00564701943063	0.0253927149014	0	host_taxid_key	1000	361	Host/block bootstrap interval for complementary OOD split.
host_holdout_biophysics	macro F1	protein_only_biophysics.host_holdout	genome_aware_denovo_biophysics.host_holdout	0.7073779088550277	0.719287953303441	0.0119100444484	-0.00369266290045	0.0271415445793	1	host_taxid_key	1000	361	Host/block bootstrap interval for complementary OOD split.
host_holdout_biophysics	micro AP	protein_only_biophysics.host_holdout	genome_aware_denovo_biophysics.host_holdout	0.8096726085870336	0.8171464311266139	0.00747382253958	0.00230315284413	0.0139816714569	0	host_taxid_key	1000	361	Host/block bootstrap interval for complementary OOD split.
host_holdout_biophysics	micro F1	protein_only_biophysics.host_holdout	genome_aware_denovo_biophysics.host_holdout	0.7335421600835307	0.739099610067352	0.00555744998382	-0.00534514324439	0.0175199822927	1	host_taxid_key	1000	361	Host/block bootstrap interval for complementary OOD split.
