center_accession	neighbor_accession	relative_rank	genome_version	cds_start	cds_end	cds_strand	product	is_center
YP_009666897.1	YP_009666897.1	0	NC_043572.1	48	749	1	nucleocapsid protein	1
YP_009666899.1	YP_009666899.1	0	NC_043574.1	49	750	1	nucleocapsid protein	1
YP_009512927.1	YP_009512927.1	0	NC_039188.1	72	773	1	nucleocapsid protein	1
YP_009337740.1	YP_009337739.1	-1	NC_033232.1	617	8287	1	hypothetical protein 1	0
YP_009337740.1	YP_009337740.1	0	NC_033232.1	8262	9053	1	hypothetical protein 2	1
YP_009337740.1	YP_009337741.1	1	NC_033232.1	9059	11707	1	hypothetical protein 3	0
YP_009342305.1	YP_009342304.1	-1	NC_033445.1	34	810	1	hypothetical protein	0
YP_009342305.1	YP_009342305.1	0	NC_033445.1	999	1529	1	hypothetical protein	1
YP_009881537.1	YP_009881532.1	-5	NC_049441.1	84871	85635	-1	head closure Hc2	0
YP_009881537.1	YP_009881533.1	-4	NC_049441.1	85639	86556	-1	head-tail adaptor Ad2	0
YP_009881537.1	YP_009881534.1	-3	NC_049441.1	86588	88462	-1	fibritin neck whisker	0
YP_009881537.1	YP_009881535.1	-2	NC_049441.1	88462	89988	-1	tail collar fiber protein	0
YP_009881537.1	YP_009881536.1	-1	NC_049441.1	89988	90647	-1	baseplate wedge subunit	0
YP_009881537.1	YP_009881537.1	0	NC_049441.1	90647	92464	-1	baseplate wedge subunit	1
YP_009881537.1	YP_009881538.1	1	NC_049441.1	92464	93330	-1	baseplate wedge tail fiber protein connector	0
YP_009881537.1	YP_009881539.1	2	NC_049441.1	93390	94394	-1	baseplate wedge subunit	0
YP_009881537.1	YP_009881540.1	3	NC_049441.1	94387	97479	-1	baseplate wedge subunit	0
YP_009881537.1	YP_009881541.1	4	NC_049441.1	97476	99425	-1	baseplate wedge subunit	0
YP_009881537.1	YP_009881542.1	5	NC_049441.1	99435	99710	-1	PAAR motif of membran proteins	0
YP_009337392.1	YP_009337389.1	-3	NC_033146.1	122	4849	1	replicase	0
YP_009337392.1	YP_009337390.1	-2	NC_033146.1	4917	6350	1	putative structural protein	0
YP_009337392.1	YP_009337391.1	-1	NC_033146.1	6423	6806	1	hypothetical protein	0
YP_009337392.1	YP_009337392.1	0	NC_033146.1	6790	7458	1	hypothetical protein	1
YP_009337270.1	YP_009337269.1	-1	NC_033093.1	196	7953	1	hypothetical protein 1	0
YP_009337270.1	YP_009337270.1	0	NC_033093.1	8205	9578	1	hypothetical protein 2	1
YP_010680760.1	YP_010680755.1	-5	NC_071046.1	85385	85693	-1	hypothetical protein	0
YP_010680760.1	YP_010680756.1	-4	NC_071046.1	85694	85963	-1	hypothetical protein	0
YP_010680760.1	YP_010680757.1	-3	NC_071046.1	85975	87288	-1	ATP-dependent DNA ligase	0
YP_010680760.1	YP_010680758.1	-2	NC_071046.1	87304	87903	-1	head maturation protease	0
YP_010680760.1	YP_010680759.1	-1	NC_071046.1	87934	88134	-1	hypothetical protein	0
YP_010680760.1	YP_010680760.1	0	NC_071046.1	88147	89121	-1	polynucleotide kinase	1
YP_010680760.1	YP_010680761.1	1	NC_071046.1	89118	90275	-1	tRNA ligase	0
YP_010680760.1	YP_010680762.1	2	NC_071046.1	90384	91244	-1	protease	0
YP_010680760.1	YP_010680763.1	3	NC_071046.1	91228	91440	-1	hypothetical protein	0
YP_010680760.1	YP_010680764.1	4	NC_071046.1	91452	91919	-1	hypothetical protein	0
YP_010680760.1	YP_010680765.1	5	NC_071046.1	91888	92490	-1	nucleotidyltransferase	0
YP_010681280.1	YP_010681275.1	-5	NC_071048.1	68669	69271	1	nucleotidyltransferase	0
YP_010681280.1	YP_010681276.1	-4	NC_071048.1	69240	69707	1	hypothetical protein	0
YP_010681280.1	YP_010681277.1	-3	NC_071048.1	69719	69931	1	hypothetical protein	0
YP_010681280.1	YP_010681278.1	-2	NC_071048.1	69906	70775	1	protease	0
YP_010681280.1	YP_010681279.1	-1	NC_071048.1	70881	72041	1	tRNA ligase	0
YP_010681280.1	YP_010681280.1	0	NC_071048.1	72038	73012	1	polynucleotide kinase	1
YP_010681280.1	YP_010681281.1	1	NC_071048.1	73025	73225	1	hypothetical protein	0
YP_010681280.1	YP_010681282.1	2	NC_071048.1	73256	73855	1	head maturation protease	0
YP_010681280.1	YP_010681283.1	3	NC_071048.1	73871	75184	1	DNA ligase, ATP-dependent	0
YP_010681280.1	YP_010681284.1	4	NC_071048.1	75196	75465	1	hypothetical protein	0
YP_010681280.1	YP_010681285.1	5	NC_071048.1	75466	75774	1	hypothetical protein	0
YP_010840622.1	YP_010840622.1	0	NC_078877.1	24	725	1	nucleoprotein	1
YP_950542.1	YP_950537.1	-5	NC_008720.1	54676	56967	-1	portal protein	0
YP_950542.1	YP_950538.1	-4	NC_008720.1	56976	57479	-1	Rz-like spanin	0
YP_950542.1	YP_950539.1	-3	NC_008720.1	57460	58086	-1	endolysin	0
YP_950542.1	YP_950540.1	-2	NC_008720.1	58073	58336	-1	holin	0
YP_950542.1	YP_950541.1	-1	NC_008720.1	58321	58653	-1	gp63	0
YP_950542.1	YP_950542.1	0	NC_008720.1	58757	60010	-1	tail assembly protein	1
YP_950542.1	YP_950543.1	1	NC_008720.1	60043	64191	-1	tail sheath and receptor binding protein	0
YP_950542.1	YP_950544.1	2	NC_008720.1	64233	65903	-1	appendage	0
YP_950542.1	YP_950545.1	3	NC_008720.1	65900	66610	-1	virion structural protein	0
YP_950542.1	YP_950546.1	4	NC_008720.1	66617	68209	-1	gp68	0
YP_950542.1	YP_950547.1	5	NC_008720.1	68202	68894	-1	gp69	0
YP_007675790.1	YP_007675790.1	0	NC_020862.2	43	732	1	hypothetical protein	1
YP_007675790.1	YP_007675791.1	1	NC_020862.2	725	2332	1	hypothetical protein	0
YP_007675790.1	YP_007675792.1	2	NC_020862.2	2301	2990	1	virion structural protein	0
YP_007675790.1	YP_007675793.1	3	NC_020862.2	2990	3328	1	hypothetical protein	0
YP_007675790.1	YP_007675794.1	4	NC_020862.2	3321	3911	1	hypothetical protein	0
YP_007675790.1	YP_007675795.1	5	NC_020862.2	3908	4564	1	endolysin	0
YP_438172.1	YP_438167.1	-5	NC_007646.1	72694	73479	-1	ORF45	0
YP_438172.1	YP_438168.2	-4	NC_007646.1	73512	74267	-1	ORF46	0
YP_438172.1	YP_438169.1	-3	NC_007646.1	74251	74706	-1	ORF47	0
YP_438172.1	YP_438170.1	-2	NC_007646.1	74761	76101	-1	ORF48	0
YP_438172.1	YP_438171.1	-1	NC_007646.1	76272	79043	1	ORF50	0
YP_438172.1	YP_438172.1	0	NC_007646.1	76367	77341	-1	ORF49	1
YP_438172.1	YP_438173.1	1	NC_007646.1	79355	80329	1	Ov6 protein	0
YP_438172.1	YP_438174.1	2	NC_007646.1	80901	81266	1	Ov7 protein	0
YP_438172.1	YP_438175.1	3	NC_007646.1	81538	83906	1	Ov8 protein	0
