protein_accession	target_type	matched_candidate_id	predicted_label	delta_p	p_context	nearest_homolog_identity	sequence_evidence_status	structure_evidence_status	module_cluster_id	module_neighborhood_consistency	sequence_any_mmseqs_hit	mmseqs_remote_hit	mmseqs_label_agreement	phrog_phold_any_hit	phrog_phold_label_agreement	domain_hmm_any_hit	domain_hmm_label_agreement	foldseek_confident_structural_hit	foldseek_functionally_informative	module_consistent	manual_literature_supported	direct_label_support	any_posthoc_support	sequence_structure_resolved	weak_or_ambiguous_sequence_structure	context_complement_regime	phrog_phold_evidence_text	domain_hmm_evidence_text	manual_evidence_text
YP_009666897.1	high_context_candidate		nucleocapsid	0.9402861595153809	0.991748571395874		sequence_hit_identity_missing_without_target_function_label	structure_hit_on_low_confidence_model	9	0.8552631578947368	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_009666899.1	high_context_candidate		nucleocapsid	0.9378372430801392	0.990148663520813		sequence_hit_identity_missing_without_target_function_label	low_model_confidence	9	0.8552631578947368	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_009337740.1	high_context_candidate		capsid_head	0.8013426661491394	0.9926972985267639		sequence_hit_identity_missing_without_target_function_label	no_foldseek_hit_available	0	0.9032359905288082	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_009342305.1	high_context_candidate		capsid_head	0.7601641416549683	0.9908549785614014		sequence_hit_identity_missing_without_target_function_label	low_model_confidence	0	0.9032359905288082	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_009512927.1	high_context_candidate		nucleocapsid	0.8860833644866943	0.9937170743942261		sequence_hit_identity_missing_without_target_function_label	low_model_confidence	9	0.8552631578947368	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_009337270.1	high_context_candidate		capsid_head	0.719755232334137	0.989971399307251		sequence_hit_identity_missing_without_target_function_label	low_model_confidence	0	0.9032359905288082	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_009881537.1	high_context_candidate		tail_assembly	0.7515098452568054	0.9922401905059814	53.8	high_identity_sequence_hit	local_structure_consistent	0	0.9032359905288082	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0			
YP_010840622.1	high_context_candidate		nucleocapsid	0.5778055787086487	0.9899758696556091		sequence_hit_identity_missing_without_target_function_label	structure_hit_on_low_confidence_model	9	0.8552631578947368	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_010680760.1	high_context_candidate		polymerase	0.6236068606376648	0.9921202659606934	63.1	high_identity_sequence_hit_without_target_function_label	structure_consistent_but_ambiguous	0	0.9032359905288082	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_010681280.1	high_context_candidate		polymerase	0.6174251437187195	0.9901267290115356	63.4	high_identity_sequence_hit_without_target_function_label	structure_consistent_but_ambiguous	0	0.9032359905288082	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0			
