protein_accession	length	esmfold_status	pdb_path
YP_009666897.1	233	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666897.1.pdb
YP_009666899.1	233	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666899.1.pdb
YP_009512927.1	233	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009512927.1.pdb
YP_009337740.1	263	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337740.1.pdb
YP_009342305.1	176	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009342305.1.pdb
YP_009881537.1	605	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009881537.1.pdb
YP_009337392.1	222	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337392.1.pdb
YP_009337270.1	457	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337270.1.pdb
YP_010680760.1	324	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010680760.1.pdb
YP_010681280.1	324	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010681280.1.pdb
YP_010840622.1	233	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010840622.1.pdb
YP_950542.1	417	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_950542.1.pdb
YP_007675790.1	229	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_007675790.1.pdb
YP_438172.1	324	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_438172.1.pdb
YP_010084498.1	584	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010084498.1.pdb
YP_010658686.1	229	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010658686.1.pdb
YP_009043771.1	229	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009043771.1.pdb
YP_009875551.1	230	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009875551.1.pdb
YP_009874071.1	229	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009874071.1.pdb
YP_009882250.1	605	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009882250.1.pdb
YP_010681710.1	341	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010681710.1.pdb
YP_009887186.1	605	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009887186.1.pdb
YP_008433402.1	1176	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008433402.1.pdb
YP_009337908.1	205	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337908.1.pdb
YP_010681552.1	338	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010681552.1.pdb
YP_009507868.1	237	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009507868.1.pdb
YP_010740217.1	341	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010740217.1.pdb
YP_009666927.1	233	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666927.1.pdb
YP_009362986.1	233	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009362986.1.pdb
YP_010840775.1	233	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010840775.1.pdb
YP_010085069.1	232	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010085069.1.pdb
YP_009666925.1	232	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666925.1.pdb
YP_009666887.1	235	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666887.1.pdb
YP_010839920.1	236	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010839920.1.pdb
YP_010839907.1	236	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010839907.1.pdb
YP_010840678.1	236	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010840678.1.pdb
YP_009342304.1	258	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009342304.1.pdb
YP_009337785.1	258	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337785.1.pdb
YP_009337005.1	257	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337005.1.pdb
YP_009553258.1	160	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009553258.1.pdb
YP_009337301.1	197	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337301.1.pdb
YP_009337651.1	199	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337651.1.pdb
YP_004010297.1	599	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_004010297.1.pdb
YP_004009814.1	597	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_004009814.1.pdb
YP_009882257.1	595	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009882257.1.pdb
YP_009336968.1	221	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336968.1.pdb
YP_009337371.1	221	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337371.1.pdb
YP_009336896.1	220	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336896.1.pdb
YP_009342266.1	460	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009342266.1.pdb
YP_009336785.1	454	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336785.1.pdb
YP_009345132.1	461	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009345132.1.pdb
YP_010679883.1	181	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010679883.1.pdb
YP_004009461.1	324	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_004009461.1.pdb
YP_010659807.1	323	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010659807.1.pdb
YP_010659623.1	323	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010659623.1.pdb
YP_009880869.1	326	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009880869.1.pdb
YP_009881604.1	326	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009881604.1.pdb
YP_009117084.1	236	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009117084.1.pdb
YP_010840630.1	236	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010840630.1.pdb
YP_010840271.1	237	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010840271.1.pdb
YP_010657796.1	411	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010657796.1.pdb
YP_009837516.1	409	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009837516.1.pdb
YP_004782187.1	406	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_004782187.1.pdb
YP_002899086.1	229	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_002899086.1.pdb
YP_009880481.1	229	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009880481.1.pdb
YP_002899005.1	229	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_002899005.1.pdb
NP_570774.1	327	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_570774.1.pdb
YP_004207870.1	314	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_004207870.1.pdb
NP_044871.1	306	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_044871.1.pdb
YP_010084588.1	581	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010084588.1.pdb
YP_009388543.1	588	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009388543.1.pdb
YP_009173919.1	578	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009173919.1.pdb
YP_009875558.1	233	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009875558.1.pdb
YP_009880558.1	535	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009880558.1.pdb
YP_007675791.1	535	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_007675791.1.pdb
YP_009875550.1	536	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009875550.1.pdb
YP_010658685.1	537	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010658685.1.pdb
YP_009874070.1	537	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009874070.1.pdb
YP_009043772.1	537	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009043772.1.pdb
YP_002899085.1	538	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_002899085.1.pdb
YP_009880480.1	538	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009880480.1.pdb
YP_002899004.1	538	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_002899004.1.pdb
YP_009875557.1	539	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009875557.1.pdb
YP_009833029.1	229	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009833029.1.pdb
YP_009887193.1	595	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009887193.1.pdb
YP_009881544.1	594	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009881544.1.pdb
YP_009880927.1	594	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009880927.1.pdb
