blind_pair_id	pair_type	high_audit_id	control_audit_id	high_accession	control_accession	high_predicted_label	control_predicted_label	high_functional_group	control_functional_group	high_phold_informative_agreement	control_phold_informative_agreement	high_phold_product	control_phold_product
MGA-P0001	high-/control-	MGA-0026	MGA-0031	YP_007236697.1	YP_010062353.1	tail_assembly	tail_assembly	structural_assembly	structural_assembly	0	0	tail terminator	hypothetical protein
MGA-P0002	high-/control-	MGA-0157	MGA-0151	YP_009703414.1	YP_009702575.1	envelope_glycoprotein	envelope_glycoprotein	membrane_entry	membrane_entry	0	0	hypothetical protein	hypothetical protein
MGA-P0003	high+/control-	MGA-0148	MGA-0158	YP_010052625.1	YP_009882186.1	portal_terminase_packaging	portal_terminase_packaging	genome_packaging	genome_packaging	1	0	terminase small subunit	dihydrofolate reductase
MGA-P0004	high-/control-	MGA-0013	MGA-0084	YP_010746850.1	YP_009595819.1	transcription_regulator	transcription_regulator	replication_transcription	replication_transcription	0	0	amidase	hypothetical protein
MGA-P0005	high+/control-	MGA-0033	MGA-0104	YP_010748066.1	YP_010012693.1	tail_assembly	tail_assembly	structural_assembly	structural_assembly	1	0	Tail assembly chaperone	hypothetical protein
MGA-P0006	high+/control-	MGA-0108	MGA-0133	YP_009150120.1	YP_004323431.1	nuclease	nuclease	processing_enzyme	processing_enzyme	1	0	HNH endonuclease	hypothetical protein
MGA-P0007	high-/control-	MGA-0071	MGA-0087	YP_010087802.1	YP_009508339.1	capsid_head	capsid_head	structural_assembly	structural_assembly	0	0	virion structural protein	hypothetical protein
MGA-P0008	high+/control-	MGA-0029	MGA-0005	YP_009703824.1	YP_009903249.1	methyltransferase	methyltransferase	processing_enzyme	processing_enzyme	1	0	DNA methyltransferase	hypothetical protein
MGA-P0009	high-/control-	MGA-0082	MGA-0110	YP_010102011.1	NP_733919.1	transcription_regulator	transcription_regulator	replication_transcription	replication_transcription	0	0	hypothetical protein	hypothetical protein
MGA-P0010	high-/control-	MGA-0037	MGA-0135	NP_043516.1	YP_009173941.1	capsid_head	capsid_head	structural_assembly	structural_assembly	0	0	hypothetical protein	ribonucleoside-diphosphate reductase large subunit
MGA-P0011	high-/control-	MGA-0007	MGA-0146	YP_010806200.1	YP_009147543.1	integrase_recombinase	integrase_recombinase	lysis_integration	lysis_integration	0	0	DNA invertase	hypothetical protein
