protein_id	genome_id	family	host_group	y_true	p_protein	p_context	delta_p	product_text_posthoc	synonym_flag	local_module	notes	audit_category
YP_010840721.1	NC_078964.1	Peribunyaviridae	10088	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9993120431900024	MISSING_IN_RETURNED_QC_PACKAGE	N	1	-1	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840775.1	NC_079014.1	Peribunyaviridae	411517	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9991734623908997	MISSING_IN_RETURNED_QC_PACKAGE	N	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840678.1	NC_078925.1	Peribunyaviridae	10036	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9990598559379578	MISSING_IN_RETURNED_QC_PACKAGE	N	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_009362986.1	NC_034632.1	Peribunyaviridae	1321405	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9988621473312378	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840665.1	NC_078913.1	Peribunyaviridae	10088	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9984476566314697	MISSING_IN_RETURNED_QC_PACKAGE	N	1	-1	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840703.1	NC_078947.1	Peribunyaviridae	10088	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9982790946960449	MISSING_IN_RETURNED_QC_PACKAGE	N	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010086207.1	NC_055408.1	Peribunyaviridae	1629510	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9979841709136963	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840713.1	NC_078957.1	Peribunyaviridae	10090	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9974581599235535	MISSING_IN_RETURNED_QC_PACKAGE	N	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840910.1	NC_079118.1	Peribunyaviridae	9534	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9974133372306824	MISSING_IN_RETURNED_QC_PACKAGE	N protein	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010839478.1	NC_077869.1	Peribunyaviridae	3120761	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9974068999290466	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840689.1	NC_078934.1	Peribunyaviridae	10088	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9967663288116455	MISSING_IN_RETURNED_QC_PACKAGE	N	1	-1	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840622.1	NC_078877.1	Peribunyaviridae	1158920	0	MISSING_IN_RETURNED_QC_PACKAGE	0.996637225151062	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_009330100.1	NC_032242.1	Riboviria	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9966310858726501	MISSING_IN_RETURNED_QC_PACKAGE	hypothetical protein 1	0	9	insufficient evidence; Returned QC package does not include enough post hoc evidence.	insufficient evidence
YP_009337179.1	NC_033055.1	Xinmoviridae	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9965073466300964	MISSING_IN_RETURNED_QC_PACKAGE	hypothetical protein 1	0	-1	insufficient evidence; Returned QC package does not include enough post hoc evidence.	insufficient evidence
YP_009336980.1	NC_032971.1	Riboviria	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9964866638183594	MISSING_IN_RETURNED_QC_PACKAGE	hypothetical protein 1	0	-1	insufficient evidence; Returned QC package does not include enough post hoc evidence.	insufficient evidence
YP_010839619.1	NC_077982.1	Peribunyaviridae	10090	0	MISSING_IN_RETURNED_QC_PACKAGE	0.99569171667099	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	8	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840727.1	NC_078969.1	Peribunyaviridae	10090	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9955399632453918	MISSING_IN_RETURNED_QC_PACKAGE	N	1	-1	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840638.1	NC_078891.1	Peribunyaviridae	10090	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9954409599304199	MISSING_IN_RETURNED_QC_PACKAGE	N	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_009337796.1	NC_033261.1	Riboviria	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9944777488708496	MISSING_IN_RETURNED_QC_PACKAGE	hypothetical protein 1	0	-1	insufficient evidence; Returned QC package does not include enough post hoc evidence.	insufficient evidence
YP_009337736.1	NC_033231.1	Riboviria	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9944469928741455	MISSING_IN_RETURNED_QC_PACKAGE	hypothetical protein 1	0	0	insufficient evidence; Returned QC package does not include enough post hoc evidence.	insufficient evidence
YP_010840724.1	NC_078967.1	Peribunyaviridae	10090	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9941366910934448	MISSING_IN_RETURNED_QC_PACKAGE	N	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840737.1	NC_078979.1	Peribunyaviridae	10090	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9938133955001831	MISSING_IN_RETURNED_QC_PACKAGE	N	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_009028568.1	NC_024075.1	Peribunyaviridae	2912049	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9937239289283752	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010797904.1	NC_076250.1	Orthornavirae	111072	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9935780763626099	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840876.1	NC_079095.1	Fimoviridae	694578	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9934936165809631	MISSING_IN_RETURNED_QC_PACKAGE	coat protein	0	1	possible true false positive; Post hoc product text does not support nucleocapsid; review with domain/structure evidence.	possible true false positive
YP_010840672.1	NC_078919.1	Peribunyaviridae	10088	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9916841983795166	MISSING_IN_RETURNED_QC_PACKAGE	N	1	-1	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_009755874.1	NC_046961.1	Rodepovirinae	260622	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9915770292282104	MISSING_IN_RETURNED_QC_PACKAGE	hypothetical protein	0	-1	insufficient evidence; Returned QC package does not include enough post hoc evidence.	insufficient evidence
YP_009337894.1	NC_033322.1	Riboviria	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9909144639968872	MISSING_IN_RETURNED_QC_PACKAGE	hypothetical protein	0	-1	insufficient evidence; Returned QC package does not include enough post hoc evidence.	insufficient evidence
YP_010790480.1	NC_075439.1	Metaparamyxovirinae	1585515	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9895997047424316	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	-1	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010085077.1	NC_055194.1	Peribunyaviridae	228918	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9893207550048828	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	8	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
NP_982305.1	NC_005777.1	Peribunyaviridae	9354	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9889320135116577	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	8	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_009268864.1	NC_030661.1	Fimoviridae	3821	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9885486364364624	MISSING_IN_RETURNED_QC_PACKAGE	RNA3	0	1	possible true false positive; Post hoc product text does not support nucleocapsid; review with domain/structure evidence.	possible true false positive
YP_010840634.1	NC_078888.1	Peribunyaviridae	10090	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9874094128608704	MISSING_IN_RETURNED_QC_PACKAGE	N	1	8	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_009337008.1	NC_032982.1	Riboviria	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9865756630897522	MISSING_IN_RETURNED_QC_PACKAGE	putative nucleoprotein	1	-1	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
