protein_accession	target_type	foldseek_hit_count	foldseek_top_n	foldseek_high_conf_hit_count	foldseek_near_top_hit_count	foldseek_taxname_diversity_top_n	foldseek_top_taxname_fraction	foldseek_ambiguity_index	foldseek_top_target	foldseek_top_taxname	foldseek_top_prob	foldseek_second_prob	foldseek_prob_margin	foldseek_top_qtmscore	foldseek_second_qtmscore	foldseek_qtmscore_margin	foldseek_query_coverage	structure_evidence_status	structure_claim_phrase
YP_009666897.1	high_context_candidate	23	20	3	3	13	0.15	0.515284210526	3zl9-assembly1_B	Schmallenberg virus	0.981	0.975	0.006	1.720E-01	1.632E-01	0.0088	0.836909871245	structure_hit_on_low_confidence_model	Foldseek hit on low-confidence predicted model
YP_009666899.1	high_context_candidate	1	1	0	1	1	1	0	6z1p-assembly1_BS	Tetrahymena thermophila SB210	0.045			1.451E-01			0.669527896996	low_model_confidence	low-confidence predicted structure
YP_009337740.1	high_context_candidate	0	0	0														no_foldseek_hit_available	structure evidence not yet available
YP_009342305.1	high_context_candidate	22	20	0	2	14	0.05	0.510526315789	7f0k-assembly1_B	Trypanosoma brucei gambiense DAL972	0.214	0.214	0	3.291E-01	2.846E-01	0.0445	0.420454545455	low_model_confidence	low-confidence predicted structure
YP_009512927.1	high_context_candidate	38	20	0	8	17	0.05	0.642210526316	3wfo-assembly3_C	Aquifex aeolicus VF5	0.106	0.076	0.03	2.247E-01	2.143E-01	0.0104	0.381974248927	low_model_confidence	low-confidence predicted structure
YP_009337270.1	high_context_candidate	260	20	0	1	11	0.1	0.371263157895	4hv4-assembly2_B	Yersinia pestis CO92	0.442	0.382	0.06	1.134E-01	1.038E-01	0.0096	0.341356673961	low_model_confidence	low-confidence predicted structure
YP_009881537.1	high_context_candidate	119	20	12	6	11	0.3	0.573684210526	5iv5-assembly1_I	Tequatrovirus T4	1.000	1.000	0	2.299E-01	2.197E-01	0.0102	1.02975206612	local_structure_consistent	structure-consistent post hoc evidence
YP_010840622.1	high_context_candidate	48	20	20	19	4	0.05	0.807894736842	4j1j-assembly1_D	Leanyer virus	1.000	1.000	0	5.261E-01	5.214E-01	0.0047	0.982832618026	structure_hit_on_low_confidence_model	Foldseek hit on low-confidence predicted model
YP_010680760.1	high_context_candidate	539	20	20	15	8	0.2	0.755263157895	4gp6-assembly1_B-2	Acetivibrio thermocellus ATCC 27405	1.000	1.000	0	4.224E-01	4.221E-01	0.0003	0.45987654321	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_010681280.1	high_context_candidate	543	20	20	15	8	0.2	0.755263157895	4gp6-assembly1_B-2	Acetivibrio thermocellus ATCC 27405	1.000	1.000	0	4.225E-01	4.221E-01	0.0004	0.45987654321	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009337392.1	high_context_candidate	0	0	0														no_foldseek_hit_available	structure evidence not yet available
YP_438172.1	high_context_candidate	329	20	3	1	6	0.05	0.327031578947	7rdr-assembly1_A	unidentified	0.941	0.887	0.054	3.902E-01	3.148E-01	0.0754	1.08641975309	structure_hit_on_low_confidence_model	Foldseek hit on low-confidence predicted model
YP_010658686.1	high_context_candidate	116	20	0	2	10	0.05	0.468421052632	7uxe-assembly1_A	Pseudomonas phage vB_PaeM_E217	0.537	0.537	0	2.096E-01	1.627E-01	0.0469	0.475982532751	ambiguous_or_weak_structure_signal	ambiguous or weak post hoc structure evidence
YP_009337301.1	matched_control	965	20	20	20	8	0.05	0.873684210526	2zzq-assembly1_A	Hepatitis E virus (strain Myanmar)	1.000	1.000	0	7.351E-01	7.264E-01	0.0087	0.97461928934	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009336968.1	matched_control	942	20	20	20	13	0.1	0.926315789474	1c8n-assembly1_C	unidentified tobacco necrosis virus	1.000	1.000	0	6.641E-01	6.610E-01	0.0031	0.841628959276	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
