cluster_id	triage_score_0_to_9	selected_for_main_case_panel	candidate_id	predicted_label	p_protein_only	p_genome_aware	delta_p	validation_gate_status	module_cluster_id	biophysics_summary	posthoc_external_evidence	caveat	hypothetical_uncharacterized_unknown	validation_targeted	calibrated_probability_high	context_gain_obvious	protein_only_uncertain_or_low	module_cluster_support	posthoc_evidence_available	no_annotation_derived_training_features	not_exact_transfer_protein	context_sensitive_label_group	module_count	family_count	neighborhood_consistency	top_neighborhood_signature
9	9	1	YP_009666897.1	nucleocapsid	0.0514624118805	0.991748571395874	0.9402861595153809	validation-targeted precision gate	9	structural_membrane_vote_fraction=0.6118421052631579; hypothetical_ratio=0.046052631578947366; tm_helix_count=1.0; signal_peptide_score=0.325; disorder_score=0.46695278969957077	ORF2 [Xincheng Mosquito Virus] | hypothetical protein 2 [Hubei myriapoda virus 7] | hypothetical protein [Wuhan pillworm virus 2]	Protein-only probability is estimated as p_genome_aware - context_gain from the returned candidate table.	1	1	1	1	unknown_from_returned_package	1	1	1	1	1	76	5	0.8552631578947368	CDS
0	8	1	YP_009337740.1	capsid_head	0.191354632378	0.9926972985267639	0.8013426661491394	validation-targeted precision gate	0	structural_membrane_vote_fraction=0.1536320851237978; hypothetical_ratio=0.445274635329884; tm_helix_count=0.0; signal_peptide_score=0.5750000000000001; disorder_score=0.5326996197718631	RdRp [Emaravirus tritici] | glycoprotein precursor [Emaravirus tritici] | hypothetical protein [Emaravirus tritici]	Protein-only probability is estimated as p_genome_aware - context_gain from the returned candidate table.	1	1	1	1	unknown_from_returned_package	1	1	1	1	0	57015	117	0.9032359905288082	CDS|CDS|CDS
116	8	1	YP_009600877.1	protease	0.991786062717	0.9898189902305603	-0.0019670724868774414	validation-targeted precision gate	116	structural_membrane_vote_fraction=0.034482758620689655; hypothetical_ratio=0.5632183908045977; tm_helix_count=1.0; signal_peptide_score=0.875; disorder_score=0.5211267605633803	hypothetical protein Ea21-4_gp82 [Erwinia phage phiEa21-4] | lipoprotein [Erwinia phage phiEa104] | lipoprotein [Erwinia phage phiEa21-4]	Protein-only probability is estimated as p_genome_aware - context_gain from the returned candidate table.	1	1	1	0	unknown_from_returned_package	1	1	1	1	1	29	7	1.0	CDS|CDS|CDS
111	4	0	YP_001491527.1		MISSING_IN_RETURNED_QC_PACKAGE			not in returned validation-targeted candidates	111	structural_membrane_vote_fraction=0.0; hypothetical_ratio=0.9230769230769231; tm_helix_count=; signal_peptide_score=; disorder_score=	hypothetical protein CGPG_00002 [Cellulophaga phage phiST] | hypothetical protein SAP2_gp02 [Staphylococcus phage SAP-2]	Protein-only probability was not present in the returned candidate table.	1	0	0	0	unknown_from_returned_package	1	1	1		0	26	8	0.7307692307692307	CDS|CDS
165	4	0	YP_008430695.1		MISSING_IN_RETURNED_QC_PACKAGE			not in returned validation-targeted candidates	165	structural_membrane_vote_fraction=0.0; hypothetical_ratio=1.0; tm_helix_count=; signal_peptide_score=; disorder_score=	hypothetical protein AVV40_gp55 [Mycobacterium phage Swirley] | hypothetical protein BJD46_gp41 [Mycobacterium phage Bactobuster] | hypothetical protein O156_gp57 [Mycobacterium phage LittleCherry]	Protein-only probability was not present in the returned candidate table.	1	0	0	0	unknown_from_returned_package	1	1	1		0	11	7	1.0	CDS|CDS|CDS
85	3	0			MISSING_IN_RETURNED_QC_PACKAGE			not in returned validation-targeted candidates	85	structural_membrane_vote_fraction=0.0; hypothetical_ratio=1.0; tm_helix_count=; signal_peptide_score=; disorder_score=		Protein-only probability was not present in the returned candidate table.	1	0	0	0	unknown_from_returned_package	1	0	1		0	7	2	1.0	CDS|CDS|CDS
189	3	0			MISSING_IN_RETURNED_QC_PACKAGE			not in returned validation-targeted candidates	189	structural_membrane_vote_fraction=0.0; hypothetical_ratio=1.0; tm_helix_count=; signal_peptide_score=; disorder_score=		Protein-only probability was not present in the returned candidate table.	1	0	0	0	unknown_from_returned_package	1	0	1		0	13	2	1.0	CDS|CDS|CDS
203	3	0			MISSING_IN_RETURNED_QC_PACKAGE			not in returned validation-targeted candidates	203	structural_membrane_vote_fraction=0.0; hypothetical_ratio=1.0; tm_helix_count=; signal_peptide_score=; disorder_score=		Protein-only probability was not present in the returned candidate table.	1	0	0	0	unknown_from_returned_package	1	0	1		0	2	2	1.0	CDS|CDS|CDS
215	3	0			MISSING_IN_RETURNED_QC_PACKAGE			not in returned validation-targeted candidates	215	structural_membrane_vote_fraction=0.0; hypothetical_ratio=1.0; tm_helix_count=; signal_peptide_score=; disorder_score=		Protein-only probability was not present in the returned candidate table.	1	0	0	0	unknown_from_returned_package	1	0	1		0	12	2	1.0	CDS|CDS|CDS
294	3	0			MISSING_IN_RETURNED_QC_PACKAGE			not in returned validation-targeted candidates	294	structural_membrane_vote_fraction=0.0; hypothetical_ratio=1.0; tm_helix_count=; signal_peptide_score=; disorder_score=		Protein-only probability was not present in the returned candidate table.	1	0	0	0	unknown_from_returned_package	1	0	1		0	8	2	1.0	CDS|CDS|CDS
