audit_id	blind_pair_id	source_group	protein_accession	predicted_label	functional_group	protein_length_aa	context_score	protein_only_score	context_gain	current_evidence_class	current_label_match	phold_phrog	phold_function	phold_product	phold_annotation_confidence	phold_bitscore	phold_evalue	phold_qCov	phold_tCov	prostt5_confidence	phold_evidence_text	phold_mapped_labels	phold_mapped_groups	phold_any_functional_hit	phold_label_agreement	phold_group_agreement	phold_informative_agreement
MGA-0001	MGA-P0039	high_context_candidate	YP_009789651.1	tail_fiber_receptor	host_interface	604.0	0.9921875	0.9921875	0.0	A_current_label_match	1	4250	tail	EPS depolymerase	high	2113.0	1.239e-42	1.0	1.0	39.79	tail | EPS depolymerase | 4250	polymerase,tail_fiber_receptor	host_interface,replication_transcription	1	1	1	1
MGA-0002	MGA-P0017	high_context_candidate	YP_009505383.1	helicase	replication_transcription	1142.0	0.80859375	0.77734375	0.03125	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					28.98				0	0	0	0
MGA-0003	MGA-P0037	high_context_candidate	YP_009598348.1	portal_terminase_packaging	genome_packaging	229.0	0.99609375	0.8359375	0.16015625	C_current_record_no_function_label	0	2109	unknown function	hypothetical protein	high	1127.0	2.895e-26	1.0	1.0	65.23	2109			0	0	0	0
MGA-0004	MGA-P0048	matched_control	YP_224050.1	ligase	processing_enzyme	171.0	0.027587890625	0.01202392578125	0.01556396484375	C_current_record_no_function_label	0	6094	unknown function	hypothetical protein	high	770.0	7.213e-19	0.99	0.99	59.67	6094			0	0	0	0
MGA-0005	MGA-P0008	matched_control	YP_009903249.1	methyltransferase	processing_enzyme	74.0	0.015869140625	0.064453125	-0.048583984375	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					34.79				0	0	0	0
MGA-0006	MGA-P0054	high_context_candidate	YP_010748124.1	tail_assembly	structural_assembly	171.0	0.97265625	0.98828125	-0.015625	C_current_record_no_function_label	0	396	tail	minor tail protein	high	558.0	7.915e-15	0.99	0.99	41.16	tail | minor tail protein | 396	tail_assembly	structural_assembly	1	1	1	1
MGA-0007	MGA-P0011	high_context_candidate	YP_010806200.1	integrase_recombinase	lysis_integration	216.0	0.98828125	0.98828125	0.0	C_current_record_no_function_label	0	125	DNA, RNA and nucleotide metabolism	DNA invertase	high	540.0	4.596e-13	0.96	0.97	75.93	DNA, RNA and nucleotide metabolism | DNA invertase | integration and excision | 125			1	0	0	0
MGA-0008	MGA-P0066	high_context_candidate	YP_009336846.1	polyprotein	processing_enzyme	977.0	0.99609375	0.99609375	0.0	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					42.68				0	0	0	0
MGA-0009	MGA-P0070	high_context_candidate	YP_009342068.1	capsid_head	structural_assembly	335.0	1.0	1.0	0.0	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					31.47				0	0	0	0
MGA-0010	MGA-P0036	matched_control	YP_007673830.1	tail_fiber_receptor	host_interface	336.0	0.78125	0.87109375	-0.08984375	C_current_record_no_function_label	0	26421	head and packaging	virion structural protein	high	1043.0	1.138e-21	0.99	0.99	38.35	head and packaging | virion structural protein | 26421	portal_terminase_packaging	genome_packaging	1	0	0	0
MGA-0011	MGA-P0061	matched_control	YP_009553185.1	capsid_head	structural_assembly	230.0	0.53125	0.0	0.53125	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					42.46				0	0	0	0
MGA-0012	MGA-P0049	matched_control	YP_009483883.1	helicase	replication_transcription	331.0	0.007568359375	0.01324462890625	-0.00567626953125	C_current_record_no_function_label	0	21086	DNA, RNA and nucleotide metabolism	DNA primase	low	216.0	5.186e-04	0.41	0.19	56.88	DNA, RNA and nucleotide metabolism | DNA primase | 21086			1	0	0	0
MGA-0013	MGA-P0004	high_context_candidate	YP_010746850.1	transcription_regulator	replication_transcription	216.0	0.91796875	0.9921875	-0.07421875	C_current_record_no_function_label	0	6095	lysis	amidase	high	1151.0	1.600e-29	0.99	0.99	62.99	lysis | amidase | 6095	lysis	lysis_integration	1	0	0	0
MGA-0014	MGA-P0040	matched_control	YP_009389283.1	envelope_glycoprotein	membrane_entry	723.0	0.007354736328125	0.004913330078125	0.00244140625	C_current_record_no_function_label	0	864	DNA, RNA and nucleotide metabolism	DNA primase	low	370.0	1.520e-06	0.29	0.27	47.02	DNA, RNA and nucleotide metabolism | DNA primase | 864			1	0	0	0
MGA-0015	MGA-P0038	matched_control	YP_010084434.1	envelope_glycoprotein	membrane_entry	269.0	0.4609375	0.0	0.4609375	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					38.4				0	0	0	0
MGA-0016	MGA-P0032	matched_control	YP_009851327.1	tail_assembly	structural_assembly	64.0	0.09423828125	0.1728515625	-0.07861328125	C_current_record_no_function_label	0	87726	unknown function	hypothetical protein	low	211.0	3.740e-04	0.69	0.22	56.74	87726			0	0	0	0
