candidate_accession	control_accession	predicted_label	candidate_mmseqs_label_agreement	control_mmseqs_label_agreement	delta_mmseqs_label_agreement	candidate_foldseek_confident_structural_hit	control_foldseek_confident_structural_hit	delta_foldseek_confident_structural_hit	candidate_foldseek_functionally_informative	control_foldseek_functionally_informative	delta_foldseek_functionally_informative	candidate_module_consistent	control_module_consistent	delta_module_consistent	candidate_direct_label_support	control_direct_label_support	delta_direct_label_support	candidate_sequence_structure_resolved	control_sequence_structure_resolved	delta_sequence_structure_resolved	candidate_weak_or_ambiguous_sequence_structure	control_weak_or_ambiguous_sequence_structure	delta_weak_or_ambiguous_sequence_structure	candidate_context_complement_regime	control_context_complement_regime	delta_context_complement_regime
YP_009342305.1	YP_009337301.1	capsid_head	0	0	0	0	1	-1	0	1	-1	1	1	0	0	1	-1	0	1	-1	1	1	0	1	0	1
YP_009337392.1	YP_009336968.1	capsid_head	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	1	1	0	0	0	0
YP_009337908.1	YP_009337337.1	capsid_head	0	0	0	0	1	-1	0	1	-1	1	1	0	0	1	-1	0	1	-1	1	1	0	1	0	1
YP_438172.1	NP_570774.1	portal_terminase_packaging	0	1	-1	0	0	0	0	1	-1	1	1	0	0	1	-1	0	1	-1	1	1	0	1	0	1
YP_010681710.1	YP_010681399.1	polymerase	0	0	0	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0
YP_009337270.1	YP_009336785.1	capsid_head	0	1	-1	0	0	0	0	1	-1	1	1	0	0	1	-1	0	1	-1	1	0	1	1	0	1
YP_008433402.1	YP_008433375.1	lysis	0	1	-1	0	1	-1	0	1	-1	1	1	0	0	1	-1	0	1	-1	1	1	0	1	0	1
YP_009881537.1	YP_004010297.1	tail_assembly	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	0	1	-1	0	0	0
YP_009887186.1	YP_009882257.1	tail_assembly	1	1	0	0	1	-1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	-1	0	0	0
YP_010658686.1	YP_007675791.1	portal_terminase_packaging	0	1	-1	0	1	-1	0	1	-1	1	1	0	0	1	-1	0	1	-1	1	1	0	1	0	1
YP_007675790.1	YP_009880558.1	portal_terminase_packaging	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	1	1	0	0	0	0
YP_010680760.1	YP_010679883.1	polymerase	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1	-1
YP_009337740.1	YP_009342304.1	capsid_head	0	1	-1	0	1	-1	0	1	-1	1	0	1	0	1	-1	0	1	-1	1	1	0	1	0	1
YP_010681552.1	YP_010681528.1	polymerase	0	1	-1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0
YP_010740217.1	YP_010740196.1	polymerase	0	1	-1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0
YP_010681280.1	YP_010680019.1	polymerase	0	1	-1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0
YP_009874071.1	YP_009874070.1	portal_terminase_packaging	0	1	-1	0	1	-1	0	1	-1	1	1	0	0	1	-1	0	1	-1	1	1	0	1	0	1
YP_009666899.1	YP_009362986.1	nucleocapsid	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0
YP_009043771.1	YP_009875550.1	portal_terminase_packaging	0	0	0	0	1	-1	0	1	-1	1	1	0	0	1	-1	0	1	-1	1	1	0	1	0	1
YP_009875551.1	YP_010658685.1	portal_terminase_packaging	0	1	-1	0	1	-1	0	1	-1	1	1	0	0	1	-1	0	1	-1	1	1	0	1	0	1
YP_009512927.1	YP_009666887.1	nucleocapsid	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0
YP_010084498.1	YP_010084588.1	portal_terminase_packaging	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0
YP_009666897.1	YP_009666927.1	nucleocapsid	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0
YP_010840622.1	YP_010839920.1	nucleocapsid	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0
YP_009507868.1	YP_010840271.1	nucleocapsid	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0
YP_009882250.1	YP_004009814.1	tail_assembly	1	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	0	0	1	-1	0	0	0
YP_950542.1	YP_010657796.1	tail_assembly	1	1	0	0	0	0	1	0	1	0	1	-1	1	1	0	1	1	0	1	1	0	0	0	0
