protein_accession	foldseek_rank	query	target	evalue	bits	prob	alnlen	pident	lddt	alntmscore	qtmscore	ttmscore	taxid	taxname
YP_009551593.1	1	YP_009551593.1	9dze-assembly1_h	1.750E+00	43	0.277	221	13.100	3.742E-01	4.002E-01	2.512E-01	2.734E-01	32630	synthetic construct
YP_009551593.1	2	YP_009551593.1	5dlq-assembly1_B	2.100E+00	41	0.233	318	11.600	3.922E-01	3.808E-01	3.405E-01	1.341E-01	10090	Mus musculus
YP_009551593.1	3	YP_009551593.1	6e9v-assembly1_Q	1.110E+00	41	0.233	230	15.600	3.694E-01	3.143E-01	2.181E-01	2.953E-01	32630	synthetic construct
YP_009551593.1	4	YP_009551593.1	6w2q-assembly1_A	1.672E+00	39	0.196	234	14.500	3.542E-01	3.467E-01	2.430E-01	3.365E-01	32630	synthetic construct
YP_009551593.1	5	YP_009551593.1	5cwm-assembly1_A	8.071E-01	39	0.196	242	14.000	3.574E-01	2.682E-01	2.074E-01	2.517E-01	32630	synthetic construct
YP_009551593.1	6	YP_009551593.1	8fbo-assembly1_C	1.459E+00	35	0.138	291	13.000	3.514E-01	2.711E-01	2.274E-01	2.613E-01	32630	synthetic construct
YP_009551593.1	7	YP_009551593.1	7t8n-assembly1_BBB-2	3.795E+00	34	0.126	121	14.000	3.044E-01	4.247E-01	1.742E-01	3.624E-01	83333	Escherichia coli K-12
YP_009551593.1	8	YP_009551593.1	8e0o-assembly1_C	8.611E+00	32	0.106	174	10.900	3.873E-01	4.489E-01	2.499E-01	4.303E-01	32630	synthetic construct
YP_009551593.1	9	YP_009551593.1	8f6q-assembly1_A	4.765E+00	32	0.106	215	12.000	3.689E-01	3.633E-01	2.403E-01	3.274E-01	32630	synthetic construct
YP_009551593.1	10	YP_009551593.1	7li3-assembly1_A	4.156E+00	31	0.098	149	14.000	3.526E-01	3.323E-01	2.043E-01	5.147E-02	9606	Homo sapiens
YP_009551593.1	11	YP_009551593.1	8gab-assembly2_C	7.862E+00	31	0.098	132	10.600	3.621E-01	4.435E-01	1.866E-01	4.371E-01	32630	synthetic construct
YP_009551593.1	12	YP_009551593.1	6e9z-assembly1_B	2.006E+00	31	0.098	232	14.200	3.487E-01	2.372E-01	1.726E-01	2.099E-01	32630	synthetic construct
YP_009551593.1	13	YP_009551593.1	7ju4-assembly1_n	7.512E+00	30	0.090	196	11.700	3.587E-01	4.122E-01	2.815E-01	2.803E-01	3055	Chlamydomonas reinhardtii
YP_009551593.1	14	YP_009551593.1	7z52-assembly1_B	3.464E+00	30	0.090	210	10.900	2.980E-01	3.223E-01	1.743E-01	8.589E-02	9606	Homo sapiens
YP_009551593.1	15	YP_009551593.1	6yxy-assembly1_BF	9.872E+00	29	0.082	171	12.200	3.679E-01	4.369E-01	2.438E-01	2.198E-01	5702	Trypanosoma brucei brucei
YP_009551593.1	16	YP_009551593.1	4yv6-assembly1_A	6.858E+00	29	0.082	225	8.400	3.729E-01	3.406E-01	2.271E-01	2.550E-01	1334	Streptococcus dysgalactiae
YP_009551593.1	17	YP_009551593.1	6e9t-assembly1_B	3.310E+00	29	0.082	239	17.100	3.435E-01	2.710E-01	2.174E-01	2.596E-01	32630	synthetic construct
YP_009551593.1	18	YP_009551593.1	5mjz-assembly2_B	2.407E+00	29	0.082	178	11.200	3.156E-01	2.556E-01	1.738E-01	1.614E-01	9606	Homo sapiens
YP_009551593.1	19	YP_009551593.1	7mu5-assembly2_H	8.228E+00	29	0.082	99	15.100	3.192E-01	4.487E-01	1.730E-01	4.074E-01	9606	Homo sapiens
YP_009551593.1	20	YP_009551593.1	9c47-assembly1_C	4.350E+00	28	0.076	288	14.200	3.352E-01	2.845E-01	2.514E-01	5.009E-02	9606	Homo sapiens
YP_009005751.1	1	YP_009005751.1	3n3f-assembly2_B	1.873E+00	56	0.663	47	6.300	6.597E-01	7.750E-01	1.342E-01	6.598E-01	9606	Homo sapiens
