cluster_id	cluster_size	number_of_families	hypothetical_ratio_mean	structural_membrane_enrichment	neighborhood_consistency	top_neighborhood_signature	priority_score	candidate_count	hypothetical_count	example_proteins
0	57015	117	0.445274635329884	0.1536320851237978	0.9032359905288082	CDS|CDS|CDS	118.94741734631238	57015	38819	YP_009237256.1;YP_009237259.1;YP_009237277.1;YP_009237265.1;YP_009237274.1
111	26	8	0.9230769230769231	0.0	0.7307692307692307	CDS|CDS	10.576923076923077	26	24	YP_001491527.1;YP_007673384.1;YP_007673384.1;YP_009793244.1;YP_009793244.1
165	11	7	1.0	0.0	1.0	CDS|CDS|CDS	10.0	11	11	YP_008430695.1;YP_009208924.1;YP_009304697.1;YP_009595417.1;YP_009789518.1
116	29	7	0.5632183908045977	0.034482758620689655	1.0	CDS|CDS|CDS	9.160919540229886	29	24	YP_002456104.1;YP_002456105.1;YP_004327058.1;YP_004327059.1;YP_009606719.1
9	76	5	0.046052631578947366	0.6118421052631579	0.8552631578947368	CDS	6.559210526315789	76	5	YP_009345048.1;YP_009302385.1;YP_009330101.1;YP_009330101.1;YP_009337068.1
85	7	2	1.0	0.0	1.0	CDS|CDS|CDS	5.0	7	7	NP_859143.1;NP_859144.1;NP_859145.1;NP_859309.1;NP_859310.1
203	2	2	1.0	0.0	1.0	CDS|CDS|CDS	5.0	2	2	YP_007518477.1;YP_009595431.1
189	13	2	1.0	0.0	1.0	CDS|CDS|CDS	5.0	13	13	YP_010077817.1;YP_010077818.1;YP_010077819.1;YP_009882077.1;YP_009844565.1
215	12	2	1.0	0.0	1.0	CDS|CDS|CDS	5.0	12	12	YP_009301024.1;YP_009275139.1;YP_009795657.1;YP_009797915.1;YP_009824840.1
294	8	2	1.0	0.0	1.0	CDS|CDS|CDS	5.0	8	8	YP_010104384.1;YP_010104385.1;YP_010109424.1;YP_010109425.1;YP_010114753.1
113	102	3	0.4901960784313725	0.0	1.0	CDS|CDS|CDS	4.980392156862745	102	87	YP_002899072.1;YP_002899073.1;YP_002899074.1;YP_002898990.1;YP_002898991.1
287	15	2	0.9555555555555555	0.0	1.0	CDS|CDS|CDS	4.911111111111111	15	15	YP_006488959.1;YP_009844494.1;YP_009844495.1;YP_009844496.1;YP_009844497.1
143	19	2	1.0	0.0	0.8947368421052632	CDS|CDS|CDS	4.894736842105263	19	19	YP_009607693.1;YP_008430709.1;YP_008857987.1;YP_008859076.1;YP_009208938.1
133	38	2	0.9473684210526315	0.0	1.0	CDS|CDS|CDS	4.894736842105263	38	38	YP_006488958.1;YP_008992050.1;YP_008992051.1;YP_006488924.1;YP_009889663.1
67	4	2	0.9166666666666666	0.0	1.0	CDS|CDS|CDS	4.833333333333333	4	4	YP_009927130.1;YP_009927131.1;YP_009927132.1;YP_010761280.1
216	27	2	0.8765432098765431	0.04938271604938271	1.0	CDS|CDS|CDS	4.802469135802469	27	26	YP_009301025.1;YP_009301026.1;YP_009275140.1;YP_009275141.1;YP_009795658.1
298	32	2	0.84375	0.020833333333333332	1.0	CDS|CDS|CDS	4.708333333333334	32	32	YP_009854783.1;YP_009854784.1;YP_009854785.1;YP_009854786.1;YP_009854787.1
198	12	2	1.0	0.0	0.6666666666666666	CDS|CDS|CDS	4.666666666666667	12	12	YP_002899020.1;YP_009202514.1;YP_009202515.1;YP_009202516.1;YP_009202517.1
288	5	2	0.7999999999999999	0.0	1.0	CDS|CDS|CDS	4.6	5	5	YP_453664.1;YP_009822492.1;YP_009845701.1;YP_009845702.1;YP_009845703.1
207	12	2	0.5555555555555555	0.4166666666666666	1.0	CDS|CDS|CDS	4.527777777777777	12	12	YP_009595807.1;YP_009303044.1;YP_009807001.1;YP_010001119.1;YP_010653837.1
160	12	2	0.6666666666666666	0.027777777777777776	1.0	CDS|CDS|CDS	4.361111111111111	12	12	YP_008873501.1;YP_008873502.1;YP_010681474.1;YP_010681475.1;YP_010680072.1
324	4	2	0.5833333333333334	0.0	1.0	CDS|CDS|CDS	4.166666666666667	4	4	YP_007236714.1;YP_010665240.1;YP_010665241.1;YP_010665242.1
263	8	2	0.5833333333333333	0.0	1.0	CDS|CDS|CDS	4.166666666666666	8	7	YP_009837475.1;YP_010658156.1;YP_010657950.1;YP_010657851.1;YP_010658056.1
1	46	2	0.2608695652173913	0.5869565217391305	1.0	CDS	4.108695652173913	46	12	YP_009237266.1;YP_009237270.1;YP_009237281.1;YP_009345134.1;YP_009345135.1
159	11	2	0.5151515151515151	0.0303030303030303	1.0	CDS|CDS|CDS	4.0606060606060606	11	11	YP_008873500.1;YP_010681476.1;YP_010680071.1;YP_010680645.1;YP_010681365.1
10	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009333468.1;YP_009333469.1;YP_009337280.1;YP_009342062.1;YP_009342063.1
118	8	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	8	8	NP_944836.1;YP_002922816.1;YP_009147302.1;YP_009606572.1;YP_009199370.1
77	21	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	21	21	NP_944932.1;YP_002922872.1;YP_009150164.1;YP_009151304.1;YP_009219515.1
79	21	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	21	21	YP_001504375.1;YP_002922893.1;YP_009150142.1;YP_009219493.1;YP_009606876.1
84	16	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	16	16	NP_859132.1;NP_859133.1;NP_859134.1;NP_859136.1;NP_859137.1
88	7	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	7	7	NP_817323.1;YP_001491531.1;YP_004957422.1;YP_009004297.1;YP_009797776.1
90	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_052977.1;YP_053009.1;YP_009140135.1;YP_009152757.1;YP_009153032.1
91	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_052981.1;YP_053013.1;YP_009140139.1;YP_009152761.1;YP_009153036.1
93	14	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	14	14	YP_052993.1;YP_052994.1;YP_053028.1;YP_053029.1;YP_053030.1
97	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_024775.1;YP_024776.1;YP_010088919.1;YP_010088920.1;YP_001218846.1
98	7	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	7	7	YP_024777.1;YP_024778.1;YP_024779.1;YP_010088922.1;YP_010088923.1
264	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_453662.1;YP_453663.1;YP_010052464.1;YP_010052465.1;YP_010052497.1
99	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_453674.1;YP_453675.1;YP_010052449.1;YP_010052450.1;YP_010052555.1
110	10	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	10	10	YP_004323421.1;YP_004323425.1;YP_004322475.1;YP_004322476.1;YP_004322477.1
104	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_004323540.1;YP_004323541.1;YP_004322594.1;YP_004322595.1;YP_007673916.1
107	9	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	9	9	YP_004323563.1;YP_004323564.1;YP_004323565.1;YP_004322620.1;YP_004322621.1
119	12	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	12	12	YP_002922876.1;YP_009606893.1;YP_009204990.1;YP_009145688.1;YP_009147354.1
120	14	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	14	14	YP_002922877.1;YP_009606892.1;YP_009204991.1;YP_009145687.1;YP_009147355.1
122	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_003347659.1;YP_009188751.1;YP_009798587.1;YP_009280678.1;YP_009787563.1
123	3	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	3	3	YP_007673478.1;YP_007673479.1;YP_007673480.1
128	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_004009365.1;YP_004009366.1;YP_009889634.1;YP_009886776.1;YP_009886030.1
204	4	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	4	4	YP_009874079.1;YP_009875483.1;YP_010658612.1;YP_010658613.1
265	9	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	9	9	YP_006488968.1;YP_009889655.1;YP_009880796.1;YP_009881424.1;YP_009885206.1
136	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009140168.1;YP_009140169.1;YP_009152789.1;YP_009152790.1;YP_009153063.1
295	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009607687.1;YP_008857981.1;YP_008859070.1;YP_009207713.1;YP_010060925.1
145	10	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	10	10	YP_009607724.1;YP_008430739.1;YP_008858019.1;YP_008859106.1;YP_009214355.1
172	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_006990645.1;YP_009598307.1;YP_009056162.1;YP_009032019.1;YP_006908805.1
149	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_006990690.1;YP_009598350.1;YP_009056206.1;YP_009055583.1;YP_010659932.1
150	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_007349044.1;YP_007349045.1;YP_007349046.1;YP_009841933.1;YP_009841934.1
155	14	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	14	14	YP_008873270.1;YP_008873271.1;YP_008873272.1;YP_010680100.1;YP_010680101.1
327	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_008873397.1;YP_010681263.1;YP_010681023.1;YP_010680291.1;YP_010680780.1
166	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_008408704.1;YP_009202433.1;YP_009197041.1;YP_010012505.1;YP_010012634.1
168	7	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	7	7	YP_008410934.1;YP_009292573.1;YP_010013027.1;YP_010012897.1;YP_010012773.1
202	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009145754.1;YP_009177371.1;YP_009606550.1;YP_009199352.1;YP_009211000.1
181	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009204792.1;YP_009188745.1;YP_009280672.1;YP_009792358.1;YP_009789242.1
184	7	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	7	7	YP_009215282.1;YP_009222530.1;YP_009222531.1;YP_009222532.1;YP_009223985.1
186	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009222544.1;YP_009222545.1;YP_009222546.1;YP_009224000.1;YP_009224001.1
190	12	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	12	12	YP_010077828.1;YP_010077829.1;YP_010077830.1;YP_009844580.1;YP_009844581.1
286	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_010077923.1;YP_009844437.1;YP_009850795.1;YP_009851146.1;YP_010667664.1
194	13	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	13	13	YP_010077941.1;YP_010077942.1;YP_009844459.1;YP_009844460.1;YP_009850819.1
196	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009198818.1;YP_009198819.1;YP_009214316.1;YP_010060843.1;YP_009637951.1
200	8	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	8	8	YP_009205516.1;YP_009292563.1;YP_010013017.1;YP_010012887.1;YP_010013146.1
201	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009205517.1;YP_009292564.1;YP_010013018.1;YP_010012888.1;YP_010013147.1
213	11	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	11	11	YP_009301019.1;YP_009275134.1;YP_009795652.1;YP_009797910.1;YP_009824835.1
214	12	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	12	12	YP_009301020.1;YP_009275135.1;YP_009795653.1;YP_009797911.1;YP_009824836.1
220	18	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	18	18	YP_009301043.1;YP_009301044.1;YP_009275157.1;YP_009275158.1;YP_009795673.1
221	18	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	18	18	YP_009301052.1;YP_009275165.1;YP_009795681.1;YP_009795682.1;YP_009797942.1
229	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009615937.1;YP_009796510.1;YP_009798823.1;YP_009822427.1;YP_009883590.1
258	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009615975.1;YP_009796549.1;YP_009798857.1;YP_009822468.1;YP_009883626.1
234	15	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	15	15	YP_009616037.1;YP_009616038.1;YP_009616039.1;YP_009796408.1;YP_009796409.1
235	7	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	7	7	YP_009616043.1;YP_009796195.1;YP_009796415.1;YP_009798931.1;YP_009822551.1
239	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009596707.1;YP_009596708.1;YP_009596709.1;YP_009612574.1;YP_009612575.1
240	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009596710.1;YP_009596711.1;YP_009596712.1;YP_009612577.1;YP_009612578.1
242	14	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	14	14	YP_009789477.1;YP_009789478.1;YP_009789479.1;YP_009789480.1;YP_009789481.1
243	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009833127.1;YP_009833128.1;YP_009833129.1;YP_009854144.1;YP_009854145.1
246	24	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	24	24	YP_009362817.1;YP_009362818.1;YP_009362819.1;YP_009362766.1;YP_009362767.1
247	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009618674.1;YP_009618675.1;YP_009618810.1;YP_009618811.1;YP_009612654.1
249	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009796141.1;YP_009798879.1;YP_009841887.1;YP_009822491.1;YP_009883435.1
250	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009796187.1;YP_009796188.1;YP_009796189.1;YP_009822543.1;YP_009822544.1
253	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009796254.1;YP_009796471.1;YP_009798785.1;YP_009822387.1;YP_009884610.1
255	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009796281.1;YP_009796497.1;YP_009798810.1;YP_009822414.1;YP_009883577.1
257	8	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	8	8	YP_009796322.1;YP_009796323.1;YP_009822455.1;YP_009822456.1;YP_009883613.1
284	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009796430.1;YP_009822566.1;YP_009822567.1;YP_009883509.1;YP_009884778.1
259	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009836732.1;YP_009836733.1;YP_009836734.1;YP_009850277.1;YP_009850278.1
289	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009836741.1;YP_009836742.1;YP_009850269.1;YP_009850270.1;YP_009850271.1
260	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009836886.1;YP_009836887.1;YP_009850397.1;YP_009850398.1;YP_009850399.1
261	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009836974.1;YP_009843000.1;YP_009846022.1;YP_009853250.1;YP_009856293.1
268	7	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	7	7	YP_009889682.1;YP_009880825.1;YP_009885233.1;YP_009886826.1;YP_009886080.1
269	8	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	8	8	YP_009889695.1;YP_009880838.1;YP_009881635.1;YP_009885249.1;YP_009886839.1
272	8	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	8	8	YP_009889771.1;YP_009880913.1;YP_009881560.1;YP_009885323.1;YP_009886912.1
276	8	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	8	8	YP_009880791.1;YP_009880792.1;YP_009886792.1;YP_009886793.1;YP_009886045.1
301	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009880895.1;YP_009885306.1;YP_009886152.1;YP_009886646.1;YP_009886397.1
278	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009880918.1;YP_009881554.1;YP_009885329.1;YP_009886918.1;YP_009886175.1
279	9	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	9	9	YP_009881559.1;YP_009882272.1;YP_009882273.1;YP_009885324.1;YP_009886913.1
280	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_010100981.1;YP_010105487.1;YP_010114784.1;YP_003857218.1;YP_009635934.1
282	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009882110.1;YP_009882111.1;YP_009887049.1;YP_009887050.1;YP_009887051.1
292	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009850945.1;YP_009850946.1;YP_009851306.1;YP_009851307.1;YP_009851308.1
296	9	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	9	9	YP_009854731.1;YP_009854858.1;YP_009854859.1;YP_009854931.1;YP_009854932.1
297	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_009854774.1;YP_009854904.1;YP_009854977.1;YP_009855186.1;YP_009855259.1
299	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009854796.1;YP_009854926.1;YP_009854999.1;YP_009855208.1;YP_009855281.1
300	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_009854870.1;YP_009854871.1;YP_009854943.1;YP_009855150.1;YP_009855368.1
310	9	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	9	9	YP_010112130.1;YP_010112243.1;YP_010112244.1;YP_010112248.1;YP_010509896.1
305	7	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	7	7	YP_010112137.1;YP_010112251.1;YP_010112365.1;YP_010112440.1;YP_010112807.1
315	3	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	3	3	YP_010112155.1;YP_010509752.1;YP_010509753.1
308	18	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	18	18	YP_010112179.1;YP_010112180.1;YP_010112337.1;YP_010112338.1;YP_010112381.1
320	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_010658106.1;YP_010658107.1;YP_010658108.1;YP_010658307.1;YP_010658308.1
325	10	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	10	10	YP_010680442.1;YP_010680443.1;YP_010680444.1;YP_010680181.1;YP_010680182.1
331	5	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	5	5	YP_010747601.1;YP_010746234.1;YP_010746443.1;YP_010746324.1;YP_010746262.1
336	6	1	1.0	0.0	1.0	CDS|CDS|CDS	4.0	6	6	YP_010772779.1;YP_010772780.1;YP_010772781.1;YP_010806220.1;YP_010806221.1
