protein_id	genome_id	family	host_group	predicted_label	p_protein_only_estimated	p_context	delta_p	calibrated_probability	precision_target_threshold	validation_gate_status	description	hypothetical_or_uncharacterized	module_cluster_id	exact_transfer_flag	nearest_train_identity	notes
YP_009666897.1	NC_043572.1	Peribunyaviridae	Metazoa	nucleocapsid	0.0514624118805	0.991748571395874	0.9402861595153809	0.991748571395874	1.0	validation-targeted gate; high context gain	nucleocapsid protein	0	9	0		nearest_train_identity filled by homology baseline script when available
YP_009666899.1	NC_043574.1	Peribunyaviridae	Metazoa	nucleocapsid	0.0523114204407	0.990148663520813	0.9378372430801392	0.990148663520813	1.0	validation-targeted gate; high context gain	nucleocapsid protein	0	9	0		nearest_train_identity filled by homology baseline script when available
YP_009512927.1	NC_039188.1	Peribunyaviridae	Metazoa	nucleocapsid	0.107633709908	0.9937170743942261	0.8860833644866943	0.9937170743942261	1.0	validation-targeted gate; high context gain	nucleocapsid protein	0	9	0		nearest_train_identity filled by homology baseline script when available
YP_009337740.1	NC_033232.1	Riboviria	root	capsid_head	0.191354632378	0.9926972985267639	0.8013426661491394	0.9926972985267639	0.993490993976593	validation-targeted gate; high context gain	hypothetical protein 2	1	0	0		nearest_train_identity filled by homology baseline script when available
YP_009342305.1	NC_033445.1	Riboviria	root	capsid_head	0.230690836906	0.9908549785614014	0.7601641416549683	0.9908549785614014	0.993490993976593	validation-targeted gate; high context gain	hypothetical protein	1	0	0		nearest_train_identity filled by homology baseline script when available
YP_009881537.1	NC_049441.1	Twarogvirinae	Bacteria	tail_assembly	0.240730345249	0.9922401905059814	0.7515098452568054	0.9922401905059814	0.9231162071228027	validation-targeted gate; high context gain	baseplate wedge subunit	0	0	0		nearest_train_identity filled by homology baseline script when available
YP_009337392.1	NC_033146.1	Riboviria	root	capsid_head	0.266024053097	0.9927617907524109	0.7267377376556396	0.9927617907524109	0.993490993976593	validation-targeted gate; high context gain	hypothetical protein	1	-1	0		nearest_train_identity filled by homology baseline script when available
YP_009337270.1	NC_033093.1	Riboviria	root	capsid_head	0.270216166973	0.989971399307251	0.719755232334137	0.989971399307251	0.993490993976593	validation-targeted gate; high context gain	hypothetical protein 2	1	0	0		nearest_train_identity filled by homology baseline script when available
YP_010680760.1	NC_071046.1	Joanripponvirinae	Bacteria	polymerase	0.368513405323	0.9921202659606934	0.6236068606376648	0.9921202659606934	0.9910714626312256	validation-targeted gate; high context gain	polynucleotide kinase	0	0	0		nearest_train_identity filled by homology baseline script when available
YP_010681280.1	NC_071048.1	Joanripponvirinae	Bacteria	polymerase	0.372701585293	0.9901267290115356	0.6174251437187195	0.9901267290115356	0.9910714626312256	validation-targeted gate; high context gain	polynucleotide kinase	0	0	0		nearest_train_identity filled by homology baseline script when available
YP_010840622.1	NC_078877.1	Peribunyaviridae	Metazoa	nucleocapsid	0.412170290947	0.9899758696556091	0.5778055787086487	0.9899758696556091	1.0	validation-targeted gate; high context gain	nucleoprotein	0	9	0		nearest_train_identity filled by homology baseline script when available
YP_950542.1	NC_008720.1	Enquatrovirinae	Bacteria	tail_assembly	0.488271832466	0.9892926216125488	0.5010207891464233	0.9892926216125488	0.9231162071228027	validation-targeted gate; high context gain	tail assembly protein	0	-1	0		nearest_train_identity filled by homology baseline script when available
YP_007675790.1	NC_020862.2	Rhodovirinae	Bacteria	portal_terminase_packaging	0.510484516621	0.9933885335922241	0.48290401697158813	0.9933885335922241	0.9879289269447327	validation-targeted gate; high context gain	hypothetical protein	1		0		nearest_train_identity filled by homology baseline script when available
YP_438172.1	NC_007646.1	Gammaherpesvirinae	Metazoa	portal_terminase_packaging	0.536279022694	0.9893968105316162	0.4531177878379822	0.9893968105316162	0.9879289269447327	validation-targeted gate; high context gain	ORF49	0	0	0		nearest_train_identity filled by homology baseline script when available
YP_010084498.1	NC_055139.1	Gammaherpesvirinae	Metazoa	portal_terminase_packaging	0.573829472065	0.9922285676002502	0.4183990955352783	0.9922285676002502	0.9879289269447327	validation-targeted gate; high context gain	minor capsid protein	0	0	0		nearest_train_identity filled by homology baseline script when available
YP_010658686.1	NC_070859.1	Rhodovirinae	Bacteria	portal_terminase_packaging	0.578890502453	0.9921548962593079	0.4132643938064575	0.9921548962593079	0.9879289269447327	validation-targeted gate; high context gain	hypothetical protein	1	0	0		nearest_train_identity filled by homology baseline script when available
YP_009043771.1	NC_024367.1	Rhodovirinae	Bacteria	portal_terminase_packaging	0.602927803993	0.9947941899299622	0.39186638593673706	0.9947941899299622	0.9879289269447327	validation-targeted gate; high context gain	hypothetical protein	1	0	0		nearest_train_identity filled by homology baseline script when available
