scheme	subset	query	target	pident	evalue	bits	qcov	tcov	query_labels	target_labels
target_validation	all_targets	YP_009666897.1							[]	[]
target_validation	all_targets	YP_009666899.1							[]	[]
target_validation	all_targets	YP_009512927.1							[]	[]
target_validation	all_targets	YP_009337740.1							[]	[]
target_validation	all_targets	YP_009342305.1							[]	[]
target_validation	all_targets	YP_009881537.1	YP_004300743.1	53.8	1.524E-216	682.0	1.000	1.000	"[""tail_fiber_receptor""]"	"[""tail_fiber_receptor""]"
target_validation	all_targets	YP_009337392.1							[]	[]
target_validation	all_targets	YP_009337270.1							[]	[]
target_validation	all_targets	YP_010680760.1	YP_010679527.1	63.1	3.034E-119	385.0	0.991	0.979	[]	[]
target_validation	all_targets	YP_010681280.1	YP_010679527.1	63.4	5.084E-121	391.0	0.991	0.979	[]	[]
target_validation	all_targets	YP_010840622.1							[]	[]
target_validation	all_targets	YP_950542.1	YP_010079244.1	70.9	4.470E-211	656.0	1.000	0.990	"[""tail_assembly""]"	"[""tail_assembly""]"
target_validation	all_targets	YP_007675790.1	YP_009884387.1	49.7	2.549E-67	230.0	0.956	0.969	[]	[]
target_validation	all_targets	YP_438172.1							[]	[]
target_validation	all_targets	YP_010084498.1	YP_009176934.1	27.2	1.100E-64	237.0	0.947	0.879	"[""capsid_head""]"	"[""capsid_head"", ""portal_terminase_packaging""]"
target_validation	all_targets	YP_010658686.1	YP_009884387.1	49.3	3.193E-63	218.0	0.956	0.969	[]	[]
target_validation	all_targets	YP_009043771.1	YP_009884387.1	47.9	3.951E-62	215.0	0.956	0.969	[]	[]
target_validation	all_targets	YP_009875551.1	YP_009884387.1	50.2	1.047E-64	223.0	0.952	0.969	[]	[]
target_validation	all_targets	YP_009874071.1	YP_009884387.1	49.3	2.580E-64	222.0	0.956	0.969	[]	[]
target_validation	all_targets	YP_009882250.1	YP_009615634.1	54.3	4.830E-221	695.0	1.000	1.000	"[""tail_fiber_receptor""]"	"[""tail_fiber_receptor""]"
target_validation	all_targets	YP_010681710.1	YP_010679527.1	57.4	2.465E-116	378.0	0.982	0.979	[]	[]
target_validation	all_targets	YP_009887186.1	YP_009615634.1	54.0	1.005E-221	697.0	1.000	1.000	"[""tail_fiber_receptor""]"	"[""tail_fiber_receptor""]"
target_validation	all_targets	YP_008433402.1	YP_010303278.1	56.5	6.760E-57	222.0	0.170	0.217	[]	[]
target_validation	all_targets	YP_009337908.1							[]	[]
target_validation	all_targets	YP_010681552.1	YP_010679336.1	59.7	3.264E-120	389.0	0.979	0.997	[]	[]
target_validation	all_targets	YP_009507868.1							[]	[]
target_validation	all_targets	YP_010740217.1	YP_010679527.1	57.1	3.375E-116	377.0	0.982	0.979	[]	[]
target_validation	all_targets	YP_009666927.1							[]	[]
target_validation	all_targets	YP_009362986.1							[]	[]
target_validation	all_targets	YP_009666887.1							[]	[]
target_validation	all_targets	YP_009342304.1	YP_009032636.1	30.4	7.287E-06	51.0	0.488	0.327	[]	"[""capsid_head""]"
target_validation	all_targets	YP_009337301.1							[]	[]
target_validation	all_targets	YP_004010297.1	YP_009324046.1	49.2	9.927E-166	534.0	0.970	0.955	"[""tail_fiber_receptor"", ""tail_assembly"", ""lysis""]"	"[""tail_fiber_receptor"", ""tail_assembly"", ""lysis""]"
target_validation	all_targets	YP_009336968.1	NP_619676.1	28.4	1.261E-13	74.0	0.769	0.519	[]	"[""capsid_head""]"
target_validation	all_targets	YP_009336785.1	YP_009142777.1	34.7	1.771E-24	112.0	0.381	0.411	[]	"[""capsid_head""]"
target_validation	all_targets	YP_010679883.1	YP_010679355.1	51.1	2.694E-50	179.0	0.972	0.970	[]	[]
target_validation	all_targets	YP_010680019.1	YP_009223803.1	63.1	0.000E+00	1312.0	0.983	0.985	"[""polymerase""]"	"[""polymerase""]"
target_validation	all_targets	YP_010839920.1							[]	[]
target_validation	all_targets	YP_010657796.1	YP_010079237.1	54.1	7.371E-114	374.0	0.998	0.998	"[""tail_assembly""]"	"[""tail_assembly""]"
target_validation	all_targets	YP_009880558.1	YP_009882947.1	59.2	2.494E-213	669.0	0.983	0.972	[]	"[""portal_terminase_packaging""]"
target_validation	all_targets	NP_570774.1	YP_009051985.1	32.2	3.474E-31	129.0	0.862	0.394	[]	"[""portal_terminase_packaging""]"
target_validation	all_targets	YP_010084588.1	YP_073816.1	27.7	8.579E-64	235.0	0.921	0.833	[]	"[""capsid_head"", ""portal_terminase_packaging""]"
target_validation	all_targets	YP_007675791.1	YP_010658492.1	63.3	9.589E-220	687.0	0.923	0.929	[]	"[""portal_terminase_packaging""]"
target_validation	all_targets	YP_009875550.1	YP_007005834.1	60.2	2.885E-214	672.0	0.933	0.945	"[""portal_terminase_packaging""]"	[]
